Game15
 Yusuke Itagaki : 15             Tatsuya Tanaka : 13
  1)                             43: 13/10 13/9 
  2) 52: 13/8 24/22              61: 13/7 8/7 
  3) 43: 13/9 13/10              41: 9/5 6/5 
  4) 33: 8/5 8/5 6/3 6/3         33: 7/4 7/4 6/3* 6/3 
  5) 63:                         33: 24/21 24/21 21/18 18/15* 
  6) 41: 25/24                   44: 15/11 11/7 10/6 7/3 
  7) 64:                         32: 21/18 18/16* 
  8) 63:                         64: 8/2 6/2 
  9) 63:                         41: 8/4 16/15 
 10) 54:                         31: 15/14 14/11 
 11) 44:                         31: 11/8 8/7 
 12) 44:                         51: 13/8 8/7 
 13) 41: 25/24                   54: 13/8 8/4 
 14) 42:                         65: 7/2 
 15) 65:                         65: 7/2 6/0 
 16) 11: 25/24 13/12 6/5 5/4     51: 5/0 6/5 
 17) 63: 24/18 13/10             54: 5/0 4/0 
 18) 54: 18/13 24/20*            63: 
 19) 41: 8/4 20/19               51: 25/24 
 20) 65: 13/7 12/7               44: 
 21) 54: 19/14 10/6              64: 
 22) 42: 14/10 10/8              61: 24/23 
 23) 22: 8/6 6/4 6/4 4/2*        52: 25/23* 
 24) 63: 25/19 8/5               43: 
 25) 11: 19/18 18/17 4/3 3/2*    21: 25/23* 3/2 
 26) 43:                         53: 
 27) 31: 25/24 5/2*              55: 
 28) 54: 7/2 24/20               66: 
 29) 11: 17/16 16/15 15/14 14/13 64: 
 30) 43: 24/20 20/17             55: 
 31) 41: 24/20 17/16             32: 
 32) 62: 13/7 20/18              22: 
 33) 21: 16/14 14/13             42: 
 34) 53: 13/8 8/5                53: 
 35) 53: 18/13 13/10             65: 
 36) 32: 10/7 20/18              53: 
 37) 53: 18/13 7/4               64: 
 38) 21: 4/2 2/1                 52: 
 39) 41: 5/1 13/12               66: 
 40) 52: 12/7 7/5                66: 
 41) 53: 7/2 7/4                 66: 
 42) 51: 5/0 2/1                 66: 
 43) 52: 6/1 6/4                 53: 
 44) 65: 5/0 5/0                 21: 
 45)  Doubles => 2                Drops
      Wins 1 point               

 
