Game7
 jorghe : 3                             Pasiphae : 6
  1) 62: 24/18 13/11                    52: 24/22 6/1*
  2) 32: bar/22 13/11                   32: 6/3* 3/1
  3) 52: bar/18                         41: 22/21 13/9
  4) 54: 13/4*                          42: bar/21* 24/22
  5) 55: bar/20 13/3* 8/3               42: bar/23 9/5*
  6) 21: bar/22                         32: 23/21 8/5
  7) 61: 11/5 6/5                       65: 13/2
  8) 41: 13/8                           51: 8/3* 3/2
  9) 55: Cannot Move                    32: 13/8
  10) 64: bar/15                        31: 13/10* 10/9
  11) 43: bar/18                        55: 21/16(2) 13/8 9/4
  12) 32: 18/16 11/8                    55: 16/6(2)
  13) 31: 8/4                           33: 8/5(3) 6/3
  14) 54: 16/11 8/4                     64: 6/off 4/off
  15) 31: 18/17 8/5                     41: 5/off
  16) 54: 18/14 11/6                    51: 5/off 1/off
  17) 63: 17/11 8/5                     53: 5/off 3/off
  18) 43: 14/10 11/8                    42: 6/off
  19) 32: 10/7 8/6                      22: 6/4 5/3 2/off(2)
  20) 54: 7/2 4/off                     63: 6/off 3/off
  21) 66: 6/off(4)                      61: 5/off 1/off
  22) 62: 6/off 2/off                   11: 4/off
  23)                                    Wins 1 point
  24)                                   
