Game1
 joro1313 : 0                           HenningF : 0
  1) 51: 24/23 13/8                     63: 24/18 13/10
  2) 32: 24/21 23/21                    54: 18/13 10/6
  3) 42: 8/4 6/4                        63: 24/15
  4) 32: 13/11 13/10*                   41: bar/24 6/2
  5) 61: 11/5 6/5                       11: 24/22 6/5(2)
  6) 21: 6/3*                           62: bar/23 8/2
  7) 61: 8/2* 3/2                       51: bar/24 13/8
  8) 32: 10/5                           53: 13/5
  9) 53: 13/10 13/8                     54: 6/1 5/1
  10) 52: 8/3 5/3                       22: 13/9(2)
  11) 52: 8/1*                          63: Cannot Move
  12)  Doubles => 2                      Drops
  13)  Wins 1 point                     

 
