Game12
 joro1313 : 6                           calumax : 12
  1) 62: 24/18 13/11                    44: 24/20(2) 13/9(2)
  2) 31: 13/10 11/10                    43: 9/5 8/5
  3) 63: 24/18 13/10                    53: 9/4 6/3
  4) 63: 13/7 10/7                      31: 13/12* 6/3
  5) 22: bar/21* 6/4(2)                 41: bar/20
  6) 62: 21/13*                         54: bar/16
  7) 31: 13/9*                          42: bar/23 20/16*
  8) 31: bar/21                         21: 23/22 6/4*
  9) 33: Cannot Move                    55: 16/6 13/8(2)
  10) 31: bar/21*                       32: bar/22 6/4*
  11) 31: bar/21*                       31: bar/24 8/5
  12) 55: 21/16 18/8 18/13              54: 24/20 8/3
  13) 52: 16/11 13/11                   33: 8/2(2)
  14) 33: 11/8(2) 10/7(2)               62: 20/14 3/1
  15) 65: 8/2 7/2                       61: 14/7
  16) 32: 8/6 7/4                       43: 7/4 5/1
  17) 43: 8/1                           41: 20/15
  18) 51: 8/7 6/1                       41: 20/16 15/14
  19) 54: 7/2 6/2                       11: 14/10
  20) 62: 8/6 8/2                       31: 16/12
  21) 31: 7/6 7/4                       51: 10/4
  22) 42: 4/off 2/off                   61: 12/5
  23) 41: 6/2 1/off                     32: 22/20 5/2
  24) 52: 6/1 4/2                       62: 20/12
  25) 51: 6/5 6/1                       65: 12/1
  26) 54: 5/off 4/off                   52: 22/15
  27) 52: 4/off 2/off                   53: 15/7
  28) 43: 2/off(2)                      21: 7/4
  29) 41: 2/off 1/off                   21: 3/off
  30) 33: 2/off(2) 1/off(2)             
  31)  Wins 1 point                     

 
