Game7
 jwill,1831 : 3                   depondi,1754 : 6
  1)                             24: 8/4 6/4
  2) 44: 24/20 24/20 13/9 13/9   22: 24/22 24/22 22/20 22/20
  3) 63: 13/7 7/4                56: 13/7 13/8
  4) 41: 6/2 4/3                 32: 13/10 10/8
  5) 65: 9/3 9/4                 66: 20/14 20/14 13/7 13/7
  6) 23: 8/5 6/4                 24: 8/4 4/2
  7) 45: 8/3 6/2                 16: 8/2 4/3
  8) 65: 13/7 13/8               65: 14/8 8/3
  9) 45: 20/15 15/11             21: 25/24 7/5
 10) 64: 25/21 11/5              22: 
 11) 41: 21/20 20/16             26: 
 12) 13: 8/5 8/7                 66: 
 13) 56: 7/1 16/11               25: 
 14) 11: 3/2 2/1 7/6 11/10       31: 
 15) 31: 10/7 5/4                22: 
 16) 66: 7/1 6/0 6/0 6/0         61: 25/19
 17) 32: 5/2 5/3                 13: 
 18) 25: 4/0 3/1                 14: 
 19) 14: 4/0 4/3                 66: 25/19 25/19 19/13 19/13
 20) 66: 3/0 3/0 3/0 2/0         45: 19/14 14/10
 21) 13: 2/0 1/0                 51: 13/8 13/12
 22) 55: 2/0 1/0 1/0 1/0        
      Wins 2 points

 
