Game11
 minack : 8                      key : 4
  1)                             65: 24/18 18/13 
  2) 41: 13/9 6/5                23: 13/10 13/11 
  3) 46: 24/18 9/5               52: 6/1* 13/11 
  4) 63: 25/22 13/7              62: 24/18* 10/8 
  5) 56: 25/20 13/7*             66: 
  6) 42: 8/4 6/4                 13: 25/22 8/7* 
  7) 56: 25/20 13/7              35: 8/3* 6/3 
  8)  Doubles => 2                Takes
  9) 23: 25/23 6/3*              24: 25/23 7/3 
 10) 51: 13/8 3/2*               12: 25/23* 23/22 
 11) 22: 25/23 23/21 23/21 8/6   43: 13/9 9/6 
 12) 46: 21/15 15/11             53: 11/6 11/8 
 13) 65: 11/5 21/16              53: 6/1 6/3 
 14) 42: 7/3* 5/3                46: 
 15) 42: 16/14 14/10             14: 25/24 8/4 
 16) 16: 10/4 8/7                16: 24/23 23/17* 
 17) 42: 25/21* 20/18            54: 
 18) 26: 21/15 20/18             14: 25/24 17/13 
 19) 21: 4/2 2/1*                45: 
 20) 62: 7/1 7/5                 45: 
 21) 21: 15/13 5/4               65: 
 22) 33: 18/15 18/15 13/10 6/3   55: 
 23) 44: 15/11 15/11 11/7 11/7   46: 
 24) 13: 7/4 7/6                 65: 
 25) 54: 10/5 4/0                26: 25/23 23/17 
 26) 53: 5/0 3/0                 14: 13/9 13/12 
 27) 43: 4/0 3/0                 24: 12/8 8/6 
 28) 61: 6/0 1/0                 32: 9/6 8/6 
 29) 64: 6/0 4/0                 53: 17/12 13/10 
 30) 54: 5/0 4/0                 21: 8/6 10/9 
 31) 53: 5/0 3/0                 62: 12/6 9/7 
 32) 23: 6/3 3/1                 11: 7/6 1/0 1/0 6/5 
 33) 12: 1/0 1/0                 
      Wins 2 points              

 
