Game6
 shadowtnt : 7                         kynos8000 : 1
  1) 61: 13/7 8/7                      22: 13/11(2) 6/4(2)               
  2) 64: 13/9 13/7                     53: 24/16*                        
  3) 52: Bar/20 24/22                   Doubles => 2                     
  4)  Takes                            61: 11/5* 6/5                     
  5) 62: Bar/23 7/1*                   33: Bar/22 11/2*                  
  6) 64: Cannot Move                   54: 13/9 8/3*                     
  7) 52: Bar/23*                       31: Bar/24* 24/21                 
  8) 65: Cannot Move                   32: 8/3                           
  9) 53: Cannot Move                   52: 9/2*                          
 10) 63: Cannot Move                   64: 13/9 8/2                      
 11) 32: Cannot Move                   65: 16/11 13/7                    
 12) 11: Bar/24(3) 6/5                 42: 22/20* 11/7                   
 13) 61: Bar/24 13/7                   31: 21/20 9/6                     
 14) 51: 13/7                          51: 20/14                         
 15) 55: 8/3(2) 7/2(2)                 62: 20/12                         
 16) 41: 7/6 7/3                       43: 12/5                          
 17) 54: 6/2 6/1                       53: 14/6                          
 18) 64: 6/2                           43: 7/4 7/3                       
 19) 54: 6/2 6/1                       53: 5/Off 3/Off                   
 20) 65: 24/13                         64: 6/2 6/Off                     
 21) 44: 13/1                          51: 5/4 5/Off                     
 22) 32: 3/1                           61: 6/5 6/Off                     
 23) 31: 2/1                           22: 5/3 4/2 4/Off                 
 24) 32: 3/1                           33: 3/Off(3)                      
 25) 52: 24/22 24/19                   62: 4/2 4/Off                     
 26) 65: 24/18 22/17                   42: 2/Off(2)                      
 27) 53: 19/14 18/15                   54: 2/Off(2)                      
 28) 54: 24/15                         43: 2/Off                         
                                        Wins 4 point



 
