Game5
 littlebeaver,1964 : 6            depondi,1803 : 4
  1)                             13: 8/5 6/5
  2) 66: 24/18 24/18 13/7 13/7   41: 13/9 9/8
  3) 12: 13/11 8/7               25: 13/8 24/22
  4) 21: 7/5 6/5                 55: 8/3 8/3 6/1 6/1
  5) 12: 11/9 9/8                21: 24/22 5/4
  6) 63: 13/7 13/10              42: 8/4 8/6
  7) 23: 7/4 6/4                 24: 6/2 5/3
  8) 13: 10/7 6/5                52: 13/8 8/6
  9) 53: 7/2 5/2                 13: 6/3 3/2
 10) 42: 8/4 4/2                 62: 22/16 3/1
 11) 13: 7/4 7/6                 33: 16/13 13/10 13/10 13/10
 12) 31: 6/3 4/3                 26: 
 13) 41: 8/4 8/7                 56: 
 14) 31: 4/1 2/1                 54: 
 15) 23: 18/16 16/13             63: 
 16) 66: 18/12 13/7 12/6 7/1     26: 
 17) 63: 7/4 6/0                 15: 
 18) 13: 4/1 1/0                 36: 
 19) 35: 6/1 6/3                 63: 25/19 19/16
 20) 56: 5/0 5/0                 51: 16/11 10/9
 21) 26: 4/0 2/0                 35: 10/5 9/6
 22) 46: 4/0 3/0                 64: 11/5 10/6
 23)  Doubles => 2                Drops
      Wins 1 point

 
