Game5
 Carol : 2                       daichan : 3
  1) 62: 24/18 13/11             11: 8/7 8/7 6/5 6/5         
  2) 54: 25/21 21/16             52: 13/8 24/22              
  3) 51: 16/11 24/23             31: 24/21 22/21             
  4) 42: 13/9 11/9               43: 21/18 18/14             
  5) 52: 25/23 13/8              64: 21/15 15/11             
  6) 52: 13/8 13/11              51: 25/24 13/8              
  7) 43: 9/5 8/5                 11: 13/12 12/11 11/10 11/10 
  8) 43: 8/4 4/1                 22: 25/23 8/6 6/4 6/4       
  9) 21: 9/7 8/7                  Doubles => 2               
 10)  Drops                       Wins 1 point



 
