Game14
 matt : 10                       daichan : 11
  1) 63: 24/18 13/10             31: 8/5 6/5                 
  2) 63: 24/18 13/10             43: 13/9 24/21              
  3) 42: 8/4 6/4                 62: 25/23 9/3               
  4) 31: 8/5 6/5                 21: 23/22 24/22             
  5) 31: 10/7 8/7                55: 22/17 22/17 13/8 13/8   
  6) 32: 10/7 7/5                42: 8/4 6/4                 
  7) 65: 13/7 7/2                62: 8/2 6/4                 
  8) 65: 7/1 7/2                 63: 8/2 8/5                 
  9) 51: 6/1 5/4                 11: 4/3 5/4 4/3 3/2         
 10) 65: 18/13 13/7               Doubles => 2               
 11)  Drops                       Wins 1 point



 
