Game12
 maquisard : 12                         Ophris : 11
  1)                                    43: 13/10 13/9
  2) 53: 24/16*                         55: bar/10 6/1*
  3) 31: bar/24* 16/13                  31: bar/22 6/5
  4) 21: 13/10                          65: 13/7 10/5
  5) 61: 24/18* 10/9                    32: bar/23 10/7*
  6) 51: bar/24 13/8                    32: 7/4 6/4
  7) 31: 13/9                           43: 24/20 23/20
  8) 32: 6/3* 3/1*                      63: bar/22
  9) 61: 8/1                            33: bar/22 13/7 13/10
  10) 65: 24/18* 18/13                  63: bar/22 10/4
  11) 41: 13/8                          11: 22/20 8/7 4/3
  12) 65: 13/2                          44: 22/14 8/4 7/3
  13) 43: 8/1                           44: 14/2 8/4
  14) 65: 8/2 6/1                       32: 20/15
  15) 63: 9/3* 6/3                      21: Cannot Move
  16) 52: 9/2                           31: Cannot Move
  17) 54: 13/9 13/8                     62: Cannot Move
  18) 42: 9/3                           11: Cannot Move
  19) 22: 8/6(3) 2/off                  66: Cannot Move
  20) 41: 6/2 1/off                     43: bar/21 15/12
  21) 54: 6/2 6/1                       21: 12/11 4/2
  22) 42: 6/4* 6/2                      61: bar/18
  23) 21: 2/off 1/off                   65: 20/15 20/14
  24) 53: 4/off 3/off                   31: ????
  25)  Wins 1 point                     
  26)                                   
