Game2
 masahito : 2                    bgdaichan : 0
  1) 31: 8/5 6/5                 32: 24/21 13/11             
  2) 61: 24/18 6/5               32: 24/21 13/11             
  3) 32: 18/15 15/13             65: 21/15 15/10             
  4) 54: 24/20 20/15             32: 25/23 13/10             
  5) 21: 25/23 5/4               66:                         
  6)  Doubles => 2                Takes                      
  7) 65: 13/7 7/2                32: 25/23 25/22             
  8) 22: 25/23 6/4 23/21 23/21   32: 13/10 13/11             
  9) 51: 8/3 3/2                 42: 25/23                   
 10) 62: 25/23 8/2               42: 25/23                   
 11) 43: 25/21 21/18             52: 25/23 23/18             
 12) 55: 13/8 13/8 13/8 23/18    63: 11/5 8/5                
 13) 41: 8/7 13/9                42: 25/23 6/2               
 14) 31: 13/10 10/9              62: 8/2 8/6                 
 15) 41: 9/5 7/6                 11: 23/22 23/22 11/10 11/10 
 16) 42: 9/5 6/4                 53: 10/5 6/3                
 17) 65: 18/12 18/13             64: 22/16 16/12             
 18) 32: 25/22 5/3               43: 25/22                   
 19) 21: 25/24 5/3               66:                         
 20) 51: 22/17 4/3               61: 25/24                   
 21) 44: 17/13 5/1 5/1 13/9      62: 25/23                   
 22) 53: 21/16 12/9              22: 25/23 25/23 6/4 6/4     
 23) 41: 25/24 16/12             64: 10/4 10/6               
 24) 61: 12/6 9/8                 Doubles => 4               
 25)  Takes                      54: 23/18 18/14             
 26) 61: 9/3 6/5                 44: 14/10 10/6 10/6 6/2     
 27) 66: 24/18 24/18 18/12 18/12 32: 23/20 20/18             
 28) 66:                         31: 6/3 4/3                 
 29) 41: 25/24 8/4               11: 6/5 5/4 4/3 2/1         
 30) 66:                         64: 18/12 5/1               
 31) 42:                         65: 23/18 18/12             
 32) 44:                         32: 12/9 12/10              
 33) 41:                         33: 10/7 9/6 7/4 3/0        
 34) 11:                         66: 6/0 6/0 6/0 5/0         
 35) 53: 25/20 20/17             53: 25/20 4/1               
 36) 63: 17/11 8/5               52: 25/20 20/18             
 37) 44:                         53: 18/15 15/10             
 38) 44:                         55: 10/5 5/0 4/0 4/0        
 39) 51: 25/20 12/11             44: 3/0 3/0 2/0 2/0         
 40) 31: 20/17 11/10             66: 1/0 1/0 1/0             
                                  Wins 8 point



 
