Game6
 menahhas,2005 : 3                michy,1915 : 4
  1) 43: 24/20 13/10             54: 24/20 20/15
  2) 34: 25/21 13/10             35: 25/20 8/5
  3) 55: 25/20 10/5 6/1 6/1      56: 25/20
  4) 21: 25/23 6/5               42: 25/21 25/23
  5) 11: 21/20 8/7 7/6 6/5       34: 25/21 13/10
  6) 36: 24/18 18/15             31: 25/22 23/22
  7) 15: 15/10 23/22             56: 21/15 13/8
  8) 12: 25/24 22/20             44: 6/2 6/2 22/18 22/18
  9) 56: 24/18 18/13             41: 15/11 11/10
 10) 66: 20/14 20/14 20/14 14/8  22: 8/6 6/4 6/4 8/6
 11) 14: 13/9 9/8                12: 8/6 6/5
 12) 24: 8/6 6/2                 65: 13/7 10/5
 13) 52: 13/8 8/6                11: 7/6 6/5 5/4 4/3
 14) 44: 8/4 8/4 6/2 8/4         13: 25/22 6/5
 15) 43: 13/10 10/6              43: 22/18 5/2
 16) 32: 14/11 13/11             33: 18/15 15/12 12/9 9/6
 17) 43: 6/2 14/11               53: 13/8 6/3
 18)  Doubles => 2                Drops
      Wins 1 point

 
