Game7
 Masahito,1834 : 5                michy,1953 : 4
  1)                             15: 13/8 6/5
  2) 32: 24/21 13/11             23: 8/5 6/4
  3) 43: 25/21 24/21             64: 25/21 13/7
  4) 24: 8/4 6/4                 56: 25/20 20/14
  5) 24: 25/21 13/11             53: 25/22 13/8
  6) 21: 6/4 4/3                 61: 25/24 24/18
  7) 12: 6/4 4/3                 25: 18/13 7/5
  8) 52: 21/16 13/11             46: 24/18 13/9
  9) 44: 25/21 11/7 11/7 13/9    12: 25/23 13/12
 10) 12: 25/24 9/7               45: 6/1 5/1
 11) 34: 25/21 7/4               43: 24/20 23/20
 12) 41: 7/3 7/6                 61: 13/7 8/7
 13) 62: 21/15 15/13             43: 
 14) 45: 21/16 16/12             21: 25/23 25/24
 15) 62: 8/2 4/2                 12: 25/24 8/6
 16) 41: 12/8 13/12              63: 24/18 18/15
 17) 65: 21/15 15/10             63: 
 18) 42: 3/1 12/8                51: 25/20 25/24
 19) 26: 25/23 10/4              26: 24/18 20/18
 20) 66: 21/15 15/9 9/3 8/2      62: 18/12 18/16
 21) 16: 23/22 22/16             15: 12/7 7/6
 22)  Doubles => 2                Drops
      Wins 1 point

 
