Game5
 arykanda,1818 : 9                miefmove,1836 : 0
  1) 51: 13/8 6/5                53: 8/3 6/3
  2) 32: 8/5 13/11               23: 13/10 13/11
  3) 44: 24/20 24/20 8/4 8/4     16: 24/18 18/17
  4) 12: 25/24 13/11             15: 17/16 16/11
  5) 16: 11/5 5/4                34: 10/6 6/3
  6) 41: 6/2 2/1                 46: 
  7) 36: 4/1 13/7                64: 
  8) 43: 7/3 6/3                 36: 
  9) 46: 13/7 11/7               62: 25/23 23/17
 10) 32: 24/21 7/5               52: 6/1 3/1
 11) 63: 21/15 5/2               44: 17/13 13/9 13/9 6/2
 12) 11: 7/6 6/5 5/4 4/3         11: 2/1 11/10 11/10 13/12
 13) 65: 25/20 20/14             62: 12/6 13/11
 14) 31:                         64: 11/7 7/1
 15) 53: 25/20 5/2                Doubles => 2
 16)  Takes                      42: 10/6 10/8
 17) 11: 6/5 6/5 5/4 4/3         46: 8/2 6/2
 18) 53: 20/15 15/12             12: 6/4 4/3
 19) 62: 12/6 6/4                55: 9/4 9/4 8/3 8/3
 20) 22: 4/2 5/3 5/3 3/1         24: 4/0 2/0
 21) 14: 20/16 16/15             66: 6/0 6/0 4/0 3/0
 22) 24: 15/11 20/18             12: 2/0 1/0
 23) 53: 11/6 18/15              53: 3/0 3/0
 24) 64: 15/9 9/5                46: 3/0 3/0
 25) 42: 4/0 2/0                 14: 1/0 1/0
 26) 13: 3/0 1/0                 25: 1/0
                                  Wins 2 points

 
