Game8
 fairytails,1871 : 4              mochy,1876 : 5
  1)                             45: 24/20 13/8
  2) 52: 13/8 24/22              65: 24/18 18/13
  3) 35: 13/8 8/5                43: 25/21 6/3
  4) 36: 25/22 22/16             26: 25/23 21/15
  5) 34: 8/5 6/2                 62: 25/23 15/9
  6) 62: 25/23                   46: 8/2 6/2
  7) 63: 25/22                   64: 9/3 13/9
  8) 24: 25/21                    Doubles => 2
  9)  Takes                      43: 8/4 6/3
 10) 63:                         46: 8/4 13/7
 11) 52: 25/20                   26: 7/5 13/7
 12) 12: 25/24                   14: 9/5 8/7
 13) 24:                         61: 23/22 22/16
 14) 34:                         33: 16/13 13/10 13/10 13/10
 15) 65:                         25: 10/5 10/8
 16) 61: 25/24 13/7              33: 7/4 7/4 10/7 7/4
 17) 52: 6/4 13/8                16: 8/2 4/3
 18) 42: 8/4 8/6                 35: 5/0 3/0
 19) 34: 13/9 9/6                11: 6/5 6/5 4/3 5/4
 20) 15: 24/19 19/18             34: 4/0 3/0
 21) 62: 18/12 8/6               14: 4/0 5/4
 22) 36: 12/6 8/5                46: 5/0 4/0
 23) 35: 24/19 19/16             34: 5/1 4/1
 24) 32:                         66: 4/0 3/0 3/0 2/0
 25) 35: 25/20 7/4               33: 2/0 2/0 1/0 1/0
                                  Wins 6 points
