Game10
 jwill,1871 : 10                  mochy,1983 : 3
  1) 21: 13/11 6/5               52: 13/8 24/22
  2) 42: 11/7 7/5                53: 8/3 6/3
  3) 26: 24/18 18/16             15: 22/21 13/8
  4) 42: 8/4 6/4                 42: 25/23 13/9
  5) 34: 25/21 24/21             12: 9/7 8/7
  6) 62: 13/7 7/5                13: 8/5 6/5
  7) 54: 6/1 5/1                 31: 25/22 23/22
  8) 56: 13/7 7/2                36: 22/16 16/13
  9) 43: 8/4 8/5                 46: 13/7 7/3
 10) 44: 13/9 13/9 9/5 9/5        Doubles => 2
 11)  Drops                       Wins 1 point

 
