Game18
 mochy,1974 : 11                  jwill,1880 : 9
  1) 54: 24/20 13/8              42: 8/4 6/4
  2) 44: 24/20 8/4 8/4 13/9      53: 13/8 6/3
  3) 22: 13/11 11/9 9/7 9/7      56: 13/7 8/3
  4) 32: 13/10 13/11             61: 13/7 24/23
  5) 31: 8/5 6/5                 31: 6/3 24/23
  6) 13: 11/8 6/5                46: 13/7 7/3
  7) 65: 20/14 14/9              42: 13/9 7/5
  8) 41: 25/24 24/20             32: 25/22 7/5
  9) 63:                         33: 8/5 8/5 9/6 6/3
 10) 23: 25/23 6/3               11: 25/24 23/22 3/2 3/2
 11) 31: 25/24                   23: 5/2 24/22
 12) 34:                         14: 5/1 2/1
 13) 62:                         65: 22/16 16/11
 14) 12:                         33: 11/8 8/5 6/3 6/3
 15) 52:                         31: 5/2 23/22
 16) 12:                         56: 22/16 16/11
 17) 56: 25/19 25/20             23: 25/22 3/1
 18) 54: 25/20 10/6              55: 11/6 6/1
 19) 43:                         55: 
 20) 45: 25/20 20/16             46: 22/16 16/12
 21) 35: 20/15 16/13             44: 
 22) 64: 13/7 7/3                46: 
 23) 23: 8/5 5/3                 45: 
 24) 32: 7/4 15/13               45: 
 25) 22: 6/4 4/2 4/2 8/6         65: 
 26) 52: 13/8 20/18              12: 25/24
 27) 14: 5/1 8/7                 62: 
 28) 13: 18/15 15/14             52: 
 29) 22: 7/5 5/3 3/1 7/5         25: 
 30) 25: 14/9 9/7                45: 
 31) 62: 7/5 6/0                 55: 
 32) 53: 5/0 5/2                 26: 
 33) 41: 4/0 4/3                 45: 25/21
 34) 25: 5/0 5/3                 66: 
 35) 22: 6/4 6/4 2/0 3/1         63: 25/19
 36) 22: 4/2 4/2 2/0 2/0         42: 25/21 19/17
 37) 66: 3/0 3/0 3/0 2/0         62: 21/15 15/13
 38) 23: 2/0 1/0                 54: 17/12 13/9
 39) 55: 1/0 1/0                
      Wins 2 points
