Game4
 mochy : 1                       Yazawa : 3
  1)                             42: 8/4 6/4 
  2) 53: 8/3 6/3                 23: 24/21 13/11 
  3) 33: 13/10 13/10 8/5 8/5     12: 24/23 23/21 
  4) 15: 24/23 23/18             55: 8/3 8/3 6/1* 6/1 
  5) 21: 25/23 6/5                Doubles => 2
  6)  Takes                      31: 11/8 8/7* 
  7) 34:                         63: 13/7 13/10 
  8) 23: 25/23 13/10             62: 13/7 13/11 
  9) 24: 10/6 5/3                41: 11/7 7/6 
 10) 54: 10/5 10/6               54: 10/5 5/1 
 11) 64: 13/7 7/3                41: 6/5 5/1 
 12) 54: 6/1 5/1                 41: 21/17 7/6 
 13) 31: 6/3 3/2                 46: 17/11 11/7 
 14) 54: 13/8 8/4*               41: 25/21* 7/6 
 15) 14:                         13: 21/18 18/17 
 16) 54: 25/20 6/2               14: 6/5* 5/1 
 17) 53: 25/20 20/17             55: 17/12 12/7 6/1 6/1 
 18) 16: 17/11 11/10             25: 6/1 7/5 
 19) 61: 10/4 3/2                14: 7/3 5/4 
 20) 33: 23/20 20/17 17/14 14/11 43: 7/3 3/0 
 21) 63: 11/5 5/2                51: 4/0 1/0 
 22) 53: 6/1 6/3                 54: 4/0 4/0 
 23) 64: 23/17 17/13             21: 3/1 1/0 
 24) 44: 13/9 9/5 5/1 4/0        51: 3/0 1/0 
 25) 61: 5/0 1/0                 56: 3/0 1/0 
 26) 52: 5/0 2/0                  Wins 2 points

 
