Game8
 mokkin : 6                            TJ : 5
  1) 63: 24/18 13/10                   31: 8/5 6/5                       
  2) 61: 24/18 10/9                    31: 24/21 6/5                     
  3) 22: 13/9 6/4*(2)                  54: Bar/20 24/20                  
  4) 61: 13/7 8/7                      62: 13/5                          
  5) 61: 9/8 9/3                       66: 20/8(2)                       
  6) 22: 8/4 7/5(2)                    53: 8/3 5/2                       
  7) 61: 8/2 4/3                       52: 13/6                          
  8) 54: 8/3 6/2                       66: 8/2(3)                        
  9) 42: 13/11 13/9                    63: 13/4                          
 10) 64: 11/1                          51: 6/1 2/1                       
 11) 33: 18/15(2) 9/6 4/1              66: 13/1(2)                       
 12) 41: 15/14 15/11                    Doubles => 2                     
 13)  Drops                             Wins 1 point



 
