Game1
 neko0417,1887 : 0                Coolrey,1947 : 0
  1)                             36: 24/18 13/10
  2) 43: 24/20 13/10             53: 10/5 8/5
  3) 33: 25/22 13/10 10/7 10/7   56: 25/20 20/14
  4) 46: 24/18 22/18             61: 14/8 6/5
  5) 16: 13/7 8/7                33: 6/3 6/3 13/10 13/10
  6) 24: 8/4 6/4                 14: 8/4 5/4
  7) 24: 8/4 6/4                 11: 24/23 23/22 10/9 10/9
  8) 22: 7/5 7/5 4/2 4/2         46: 9/3 9/5
  9) 62: 13/7 13/11              23: 4/1 3/1
 10) 43: 7/3 6/3                 41: 25/24 8/4
 11) 12: 18/17 11/9              52: 
 12) 41: 9/5 17/16               56: 
 13) 42: 5/1 16/14               45: 
 14) 35: 14/9 9/6                65: 
 15) 23: 6/3 3/1                 14: 
 16) 24: 7/5 7/3                 64: 
 17) 34: 18/14 14/11             23: 
 18) 51: 11/6 3/2                53: 
 19) 34: 5/1 6/3                 35: 
 20) 53: 6/1 6/3                 55: 
 21) 16: 5/0 5/4                 31: 
 22) 25: 4/0 2/0                 46: 25/19
 23) 66: 4/0 4/0 3/0 3/0         45: 25/20 20/16
 24) 64: 3/0 3/0                 63: 16/10 19/16
 25) 53: 2/0 2/0                 25: 16/11 13/11
 26) 15: 1/0 1/0                 16: 13/7 7/6
 27) 25: 1/0 1/0                
      Wins 2 points

 
