Game10
 neko0417,1887 : 7                rookieplayer,1842 : 10
  1)                             15: 13/8 24/23
  2) 12: 13/11 24/23             16: 13/7 8/7
  3) 41: 11/7 8/7                54: 24/20 20/15
  4) 22: 6/4 6/4 7/5 7/5         51: 15/10 23/22
  5) 24: 13/9 23/21              54: 22/18 18/13
  6) 46: 21/15 13/9              46: 
  7) 13: 24/21 21/20             64: 
  8) 64: 20/14 15/11             51: 25/24 13/8
  9) 21: 14/13 13/11             15: 13/8 6/5
 10) 36: 9/3 6/3                 25: 8/3 7/5
 11) 12: 9/7 8/7                 53: 8/3 7/4
 12) 11: 11/10 10/9 9/8 11/10    54: 13/8 13/9
 13) 52: 13/8 8/6                36: 9/3 8/5
 14) 25: 6/1 10/8                26: 25/23 8/2
 15) 55: 7/2 7/2 13/8 8/3        13: 25/24 5/2
 16) 26:                         44: 8/4 8/4 5/1 5/1
 17) 36:                         43: 6/2 4/1
 18) 11:                         61: 24/18 2/1
 19) 61:                         16: 18/12 3/2
 20) 34:                         24: 12/8 8/6
 21) 14:                         22: 6/4 6/4 6/4 6/4
 22) 34:                         42: 4/0 4/2
 23) 36: 25/19 8/5               36: 4/0 3/0
 24) 45: 19/14 14/10             54: 4/0 4/0
 25) 35: 10/5 8/5                51: 4/0 1/0
 26) 66: 8/2 6/0 6/0 5/0         41: 3/0 1/0
 27) 32: 3/0 2/0                 21: 2/0 1/0
 28) 12: 2/0 5/4                 15: 2/0 1/0
 29) 55: 5/0 5/0 5/0 4/0         36: 2/0 2/0
                                  Wins 1 point
