Game1
 satoshi2104,1704 : 0             neko0417,1865 : 0
  1) 62: 24/18 13/11             21: 13/11 8/7
  2) 53: 25/22 13/8              15: 13/8 8/7
  3) 31: 8/5 6/5                 62: 24/18 13/11
  4) 52: 24/22 6/1               12: 25/24 18/16
  5) 53: 25/20 11/8              55: 16/11 6/1 6/1 11/6
  6) 25: 22/20 8/3               55: 8/3 8/3 13/8 13/8
  7) 51: 25/20 6/5               26: 24/22 22/16
  8) 13:                          Doubles => 2
  9)  Drops                       Wins 1 point

 
