Game5
 nishiken : 2                          ergin : 3
  1)                                   42: 8/4 6/4                       
  2) 44: 24/20(2) 13/9(2)              63: 24/15                         
  3) 63: 13/7 13/10*                   64: Bar/21 24/18*                 
  4) 51: Bar/20 8/7*                   53: Bar/20 21/18*                 
  5) 64: Cannot Move                   42: 18/12*                        
  6) 65: Bar/20                        52: 20/15* 13/11                  
  7) 21: Bar/24 Bar/23                 62: 15/9 11/9                     
  8) 64: 20/10                         55: 13/3(2)                       
  9) 52: 23/18 20/18                   53: 12/4                          
 10) 42: 8/4 6/4                       51: 13/12 13/8                    
 11) 63: 9/3 6/3                       22: 12/4                          
 12) 41: 9/5 6/5                       65: 9/4 9/3                       
 13) 21: 10/7                           Doubles => 2                     
 14)  Takes                            53: 6/1* 4/1                      
 15) 53: Bar/20 8/5                    51: 8/2                           
 16) 54: 20/11                         43: 6/2 4/1                       
 17) 52: 11/4                          42: 8/6 8/4                       
 18) 31: 18/14                         43: 6/2 3/Off                     
 19) 43: 14/7                          53: 6/3 6/1                       
 20) 65: 20/15 18/12                   54: 4/Off(2)                      
 21) 52: 20/18 15/10                   53: 4/Off 3/Off                   
 22) 63: 18/15 12/6                    53: 4/Off 3/Off                   
 23) 42: 10/6 7/5                      42: 3/Off 2/Off                   
 24) 51: 15/10 7/6                     63: 2/Off(2)                      
 25) 54: ????                           Wins 2 point



 
