Game20
 nishiken : 16                         nasu : 11
  1)                                   32: 13/11 13/10                   
  2) 53: 8/3 6/3                       42: 8/4 6/4                       
  3) 22: 24/20(2)                      42: 13/11 10/6                    
  4) 64: 8/2 6/2                       11: 11/9(2)                       
  5) 53: 13/10 13/8                    54: 24/15*                        
  6) 53: Bar/20 13/10*                 31: Bar/24 6/3                    
  7) 41: 13/9 10/9                     61: 13/12* 9/3                    
  8) 42: Bar/23 20/16*                 65: Bar/20 12/6                   
  9) 32: 23/20 16/14                   63: 20/11*                        
 10) 63: Cannot Move                   22: 13/9 11/9 6/4                 
 11) 42: Bar/23 6/2                    52: 8/6 8/3                       
 12) 43: 20/13                         54: 24/15                         
 13) 64: 20/10*                        42: Bar/21 4/2*                   
 14) 31: Bar/24 13/10                  65: 24/13                         
 15) 42: 8/4* 4/2                      65: Bar/14                        
 16) 61: 24/23* 23/17                  31: Bar/21                        
 17) 54: 17/12* 12/8                   31: Bar/21                        
 18) 31: 20/17 2/1                     21: 9/8* 8/6                      
 19) 65: Bar/14                        65: 14/8 9/4                      
 20) 21: 14/12 2/1                     42: 6/2 4/2                       
 21) 65: 12/1                          64: 8/2 6/2                       
 22) 32: 9/7 9/6                       21: 21/18*                        
 23) 54: Bar/16                        53: 21/18 6/1                     
 24) 51: 16/10                         32: 6/1                           
 25) 64: 10/4 6/2                      65: 18/13 18/12                   
 26) 54: 10/6 10/5                     64: 13/9 12/6                     
 27) 44: 8/Off(2)                      61: 9/3 1/Off                     
 28) 65: 6/Off 5/Off                   54: 6/1 4/Off                     
 29) 54: 6/1 4/Off                     21: 2/Off 1/Off                   
 30)  Doubles => 2                      Drops                            
      Wins 1 point



 
