Game8
 nishiken : 9                          nasu : 2
  1) 54: 24/20 13/8                    52: 24/22 13/8                    
  2) 62: 24/18 20/18                   42: 24/20 22/20                   
  3) 66: 13/7(4)                       63: 13/4                          
  4) 51: 8/2                           64: 8/2 6/2                       
  5) 62: 8/2 6/4                       44: 20/12(2)                      
  6) 66: 8/2(2) 7/1(2)                 41: 8/4 6/5                       
  7) 62: 7/1 6/4                       64: 13/3                          
  8) 42: 7/1                           54: 6/1 5/1                       
  9) 61: 2/1                           63: 8/5 8/2                       
 10) 53: 18/10                         52: 12/7* 5/3                     
 11) 66: Cannot Move                    Doubles => 2                     
 12)  Drops                             Wins 1 point



 
