Game9
 Yazawa : 10                           olidanArgent : 6
  1)                                   65: 24/13                         
  2) 54: 24/20 13/8                     Doubles => 2                     
  3)  Takes                            43: 8/5* 5/1*                     
  4) 55: Bar/20(2) 8/3(2)              33: 13/7(2)                       
  5) 22: 13/11(2) 6/4(2)               31: 24/20                         
  6) 11: 8/5* 6/5                      11: Bar/23 8/7(2)                 
  7) 42: 8/2*                          63: Cannot Move                   
  8) 32: 11/9 11/8                     32: Bar/23* 13/10                 
  9) 53: Bar/22 20/15*                 31: Bar/24 13/10*                 
 10) 32: Bar/20                        32: 6/3* 3/1                      
 11) 43: Bar/22 8/4                    11: 24/23 10/7                    
 12) 53: 22/14                         54: 7/2 6/2                       
 13) 21: 14/11                         32: 7/4 6/4                       
 14) 63: 11/5 9/6                      65: 13/2                          
 15) 65: 20/9                          41: 13/8                          
 16) 65: 20/9                          53: 8/3 7/4                       
 17) 64: 13/3                          54: 7/3 7/2                       
 18) 41: 13/9 5/4                      41: 6/1                           
 19) 41: 9/5 4/3                       63: 23/14                         
 20) 33: 9/6 5/2*(3)                   64: Cannot Move                   
 21) 64: 9/3 6/2                       54: Bar/20 14/10                  
 22) 65: 6/1 6/Off                     66: 20/2 10/4                     
 23) 32: 3/Off 2/Off                   41: 4/Off 1/Off                   
 24) 41: 4/Off 1/Off                   32: 3/Off 2/Off                   
 25) 53: 6/1 3/Off                     62: 6/Off 2/Off                   
 26) 64: 4/Off(2)                      42: 4/Off 2/Off                   
 27) 65: 3/Off(2)                      31: 3/Off 1/Off                   
 28) 42: 3/Off 2/Off                   54: 4/Off(2)                      
 29) 61: 2/Off 1/Off                   32: 2/Off(2)                      
 30) 42: 2/Off                         
      Wins 2 point and the match




