Game7
 othello,1909 : 4                 Rhino,1749 : 4
  1) 65: 24/18 18/13             11: 6/5 6/5 8/7 8/7
  2) 34: 24/21 21/17             12: 25/23 23/22
  3) 21: 13/11 17/16             43: 13/9 24/21
  4) 53: 25/22 13/8              66: 21/15 15/9 9/3 9/3
  5) 21: 25/24 13/11             56: 22/16 16/11
  6) 34: 24/21 21/17             23: 11/8 13/11
  7) 14: 25/24 13/9               Doubles => 2
  8)  Takes                      34: 11/8 13/9
  9) 32: 11/8 11/9               14: 9/5 24/23
 10) 11: 6/5 6/5 8/7 8/7         41: 8/4 5/4
 11) 31: 8/5 24/23               55: 7/2 7/2 13/8 8/3
 12) 44:                         12: 23/21 6/5
 13) 33:                         21: 8/6 3/2
 14) 25:                         44: 13/9 9/5 5/1 5/1
 15) 62:                         13: 6/3 2/1
 16) 23:                         54: 6/1 6/2
 17) 13:                         51: 2/1
 18) 32:                         62: 21/15 15/13
 19) 12:                         31: 13/10 10/9
 20) 65: 25/19 19/14             55: 9/4 5/0 5/0 4/0
 21) 14: 14/10 7/6               33: 3/0 3/0 3/0 4/1
 22) 34: 10/6 9/6                22: 4/2 2/0 2/0 2/0
 23) 23: 9/6 8/6                 35: 1/0 1/0
 24) 53: 13/8 13/10              65: 1/0 1/0
 25) 53: 10/5 8/5                43: 1/0 1/0
                                  Wins 4 points

 
