Game5
 othello : 2                           fuka' : 3
  1) 61: 13/7 8/7                      32: 24/21 13/11                   
  2) 63: 13/4*                         62: Bar/23 11/5                   
  3)  Doubles => 2                      Takes                            
  4) 31: 24/20*                        65: Bar/14                        
  5) 52: 13/8 6/4                      62: 24/22 14/8                    
  6) 22: 24/20 7/5(2)                  54: 23/18 22/18                   
  7) 41: 8/3                           62: 8/2 6/4                       
  8) 54: 8/3 6/2                       11: 18/17*(2) 4/2                 
  9) 52: Bar/20 6/4                    42: 8/4 6/4                       
 10) 61: 20/13                         64: 13/3                          
 11) 32: 13/10 4/2                     33: 13/10(3) 6/3                  
 12) 41: 10/5                          53: 10/2                          
 13) 33: 13/7(2)                       43: 17/10                         
 14) 64: 7/1 5/1                       61: 17/10                         
 15) 41: 7/2                           63: 10/1                          
 16) 55: 6/1(2)                        21: 10/8 2/1                      
 17) 63: 20/11                         64: 10/6 10/4                     
 18) 53: 20/12                         21: 8/5                           
 19) 66: 12/Off 11/Off                 44: 8/Off(2)                      
 20) 33: 5/2(2) 3/Off(2)               21: 2/Off 1/Off                   
 21) 32: 4/1 2/Off                     31: 3/Off 1/Off                   
 22) 65: 4/Off 2/Off                   31: 6/5 3/Off                     
 23) 32: 2/Off(2)                      31: 4/Off                         
 24) 53: 2/Off 1/Off                   64: ????                          
      Wins 2 point



 
