Game9
 profylaxe,1818 : 10              arykanda,1823 : 10
  1) 51: 13/8 24/23              16: 13/7 8/7
  2) 53: 8/3 6/3                 56: 24/18 18/13
  3) 33: 13/10 13/10 10/7 10/7   51: 13/8 8/7
  4) 26: 23/21 21/15             66: 8/2 8/2 7/1 7/1
  5) 65: 25/20 15/9              65: 13/7 6/1
  6) 35: 20/15 9/6               24: 24/20 6/4
  7) 16: 15/9 6/5                36: 
  8) 14: 9/5 6/5                 36: 
  9) 61: 13/7 8/7                34: 25/21 7/4
 10) 61: 13/7 7/6                33: 13/10 10/7 13/10 13/10
 11) 31: 7/4 5/4                 46: 
 12) 34: 6/2 7/4                 24: 25/23 7/3
 13) 25: 25/20 4/2               13: 25/24 6/3
 14) 23: 6/3 3/1                 31: 25/24 10/7
 15) 26:                         22: 7/5 6/4 4/2 10/8
 16) 41:                         53: 4/1 7/2
 17) 44: 25/21 25/21 21/17 17/13 44: 
 18) 45: 13/8 8/4                66: 
 19) 55: 21/16 16/11 11/6 6/1    65: 
 20) 52: 8/3 4/2                 15: 25/24
 21) 43: 25/21 8/5               24: 
 22) 56: 21/15 15/10             65: 
 23) 35: 10/5 5/2                65: 
 24) 61: 7/1 2/1                 33: 
 25) 34: 7/4 5/1                 65: 
 26) 34: 6/2 6/3                 65: 25/19
 27) 54: 5/0 5/1                 33: 
 28) 61: 4/0 1/0                 64: 25/19
 29) 14: 4/0 4/3                 35: 25/20 19/16
 30) 63: 3/0 3/0                 46: 16/10 10/6
 31) 44: 3/0 3/0 3/0 2/0         13: 20/17 19/18
 32) 11: 1/0 1/0 2/1 2/1         21: 18/16 16/15
 33) 15: 1/0 1/0                 46: 15/9 9/5
 34) 36: 1/0                    
      Wins 2 points
