Game6
 ronn,1879 : 6                    fairytails,1830 : 10
  1)                             46: 24/18 18/14
  2) 63: 24/18 13/10             32: 14/11 13/11
  3) 13: 8/5 6/5                 41: 11/7 8/7
  4) 22: 25/23 6/4 6/4 23/21     65: 24/18 18/13
  5) 56: 13/7 13/8               11: 6/5 6/5 5/4 5/4
  6) 56: 25/20 20/14             62: 25/23 13/7
  7) 21: 8/7 24/22               41: 23/22 7/3
  8) 64:                         66: 22/16 16/10 13/7 10/4
  9) 13: 25/22 10/9              41: 25/24 7/3
 10) 21: 25/23 23/22             56: 
 11) 31: 13/10 10/9              66: 
 12) 66: 9/3 9/3 7/1 7/1         42: 25/23
 13) 26: 8/2 22/20               16: 
 14) 62: 8/2 13/11               12: 
 15) 43: 20/16 16/13             15: 
 16) 53: 14/9 9/6                35: 
 17) 52: 13/8 6/4                42: 
 18) 64: 11/5 8/4                22: 
 19) 45: 5/0 4/0                 31: 
 20) 46: 6/0 6/2                 51: 
 21) 61: 5/0 5/4                 44: 
 22) 42: 4/0 4/2                 36: 25/19
 23) 62: 4/0 4/2                 42: 25/21 8/6
 24) 62: 3/0 2/0                 35: 21/16 13/10
 25) 63: 3/0 2/0                 51: 16/11 7/6
 26) 22: 2/0 2/0 2/0 1/0         51: 19/14 13/12
 27) 25: 1/0                    
      Wins 2 points

 
