Game6
 ronn,1978 : 4                    minack,1936 : 8
  1)                             45: 13/8 24/20
  2) 42: 8/4 6/4                 12: 13/11 11/10
  3) 52: 24/22 13/8              62: 10/4 6/4
  4) 25: 24/22 13/8              62: 24/18 20/18
  5) 14: 8/4 4/3                 62: 8/2 13/11
  6) 56: 13/8 8/2                26: 8/2 6/4
  7) 22: 22/20 22/20 4/2 6/4     54: 11/6 6/2
  8) 52: 8/3 6/4                 41: 6/2 2/1
  9) 24: 8/4 8/6                 61: 8/2 2/1
 10) 45: 6/1 6/2                 23: 13/10 10/8
 11) 35: 6/1 4/1                 66: 13/7 7/1 8/2 8/2
 12) 23: 20/17 4/2               12: 4/2 2/1
 13) 14: 17/13 2/1               12: 4/2 2/1
 14) 25: 13/8 8/6                56: 18/13 13/7
 15) 41: 6/5 5/1                 23: 7/4 18/16
 16) 56: 20/14 14/9              66: 25/19 19/13 13/7 7/1
 17) 36: 13/7 9/6                 Doubles => 2
 18)  Drops                       Wins 1 point

 
