Game3
 sam64,1817 : 11                  Gensoku,1901 : 12
  1) 41: 13/9 24/23              34: 24/21 13/9
  2) 56: 24/18 23/18             35: 21/16 16/13
  3) 56: 25/20 20/14             21: 13/11 9/8
  4) 33: 25/22 8/5 8/5 13/10     22: 6/4 6/4 13/11 24/22
  5) 25: 13/8 10/8               15: 22/21 21/16
  6) 64: 13/9 22/16              36: 25/22 22/16
  7) 65: 25/20 13/7              52: 16/11 13/11
  8) 14: 20/16 6/5               35: 11/6 8/5
  9) 34: 8/4 7/4                 14: 6/5 8/4
 10) 42: 8/4 5/3                 46: 11/5 6/2
 11) 13: 6/3 8/7                 46: 8/2 8/4
 12) 55: 16/11 16/11 11/6 7/2    36: 11/5 11/8
 13) 42: 6/2 11/9                36: 8/2 5/2
 14) 66: 9/3                     24: 5/1 4/2
 15) 33: 4/1 4/1 4/1 6/3         52: 6/1 6/4
 16) 34: 6/2 6/3                 46: 13/9 9/3
 17) 61: 18/12 18/17             33: 
 18)  Doubles => 2                Takes
 19) 12: 17/15 12/11             31: 
 20) 54: 11/6 6/2                56: 25/19 19/14
 21) 45: 15/10 10/6              43: 14/10 10/7
 22) 13: 3/0 1/0                 52: 7/2 2/0
 23) 66: 6/0 5/0 5/0 3/0         23: 3/0 2/0
 24) 16: 3/0 1/0                 14: 4/0 1/0
 25) 53: 3/0 3/0                 53: 5/0 4/1
 26) 34: 2/0 2/0                 35: 5/0 4/1
 27) 24: 2/0 2/0                 23: 4/1 2/0
 28) 62: 1/0                    
      Wins 2 points

 
