Game4
 sam64,1817 : 9                   Gensoku,1901 : 7
  1) 51: 13/8 24/23              15: 13/8 24/23
  2) 34: 24/20 23/20             14: 23/22 22/18
  3) 61: 13/7 8/7                24: 25/21 6/4
  4) 11: 6/5 6/5 6/5 5/4         36: 25/22 22/16
  5)  Doubles => 2                Takes
  6) 25: 13/8 8/6                26: 24/22 22/16
  7) 43: 8/4 6/3                 33: 13/10 13/10 6/3 6/3
  8) 51: 8/3 7/6                 46: 10/4 10/6
  9) 15: 7/2 8/7                 21: 6/4 4/3
 10) 25: 7/2 6/4                 15: 8/3 3/2
 11) 15: 13/8 8/7                23: 8/6 6/3
 12) 64: 13/7 7/3                13: 16/13 3/2
 13) 14: 5/1 6/5                 36: 16/10 13/10
 14) 23: 4/1 3/1                 65: 13/7 7/2
 15) 32: 6/3 3/1                 25: 13/8 8/6
 16) 65: 20/14 14/9              25: 10/5 5/3
 17) 54: 25/20 20/16             15: 10/9 9/4
 18) 52: 25/20 7/5                Doubles => 4
 19)  Drops                       Wins 2 points

 
