Game5
 shadowtnt,1841 : 6               arykanda,1833 : 6
  1)                             16: 13/7 8/7
  2) 33: 24/21 24/21 13/10 13/10 42: 24/20 20/18
  3) 21: 8/7 10/8                26: 25/23 24/18
  4) 62: 25/23 13/7              23: 25/22 13/11
  5) 33: 6/3 6/3 8/5 8/5         15: 25/24 23/18
  6) 36: 25/22 13/7              64: 25/21 21/15
  7) 43: 25/21 13/10             25: 25/23 23/18
  8) 56: 25/20 20/14             32: 25/23 18/15
  9) 63: 25/22 14/8              63: 24/18 18/15
 10) 31: 23/20 21/20             62: 23/21 21/15
 11) 34: 20/16 16/13             41: 15/11 6/5
 12) 35: 25/20 8/5               15: 25/24 11/6
 13) 31: 5/4 8/5                 43: 24/21 21/17
 14) 22: 25/23 22/20 6/4 13/11   52: 13/8 17/15
 15) 56: 22/16 21/16             34: 15/11 11/8
 16) 61: 5/4 21/15               42: 8/4 6/4
 17) 33: 11/8 5/2 5/2 8/5        25: 15/10 15/13
 18) 63: 25/22 22/16              Doubles => 2
 19)  Drops                       Wins 1 point

 
