Game5
 shimohei,1841 : 5                backammon,1923 : 1
  1)                             45: 24/20 13/8
  2) 54: 24/20 20/15             63: 20/14 13/10
  3) 22: 25/23 6/4 6/4 13/11     66: 
  4) 46: 13/7 11/7               34: 25/22 24/20
  5) 51: 6/5 8/3                 11: 25/24 25/24 24/23 23/22
  6) 16: 25/24 13/7              14: 24/20 10/9
  7) 54: 25/20 20/16             14: 25/24 24/20
  8) 43: 24/20 23/20             26: 22/16 16/14
  9) 13: 16/13 7/6               41: 14/10 10/9
 10) 51: 13/8 8/7                34: 13/9 6/3
 11) 56: 24/18 18/13             36: 8/2 6/3
 12) 52: 13/8 8/6                15: 8/7 7/2
 13) 46: 8/2 8/4                 46: 13/7 13/9
 14) 56: 20/14 20/15             44: 20/16 20/16 9/5 8/4
 15) 23: 15/12 14/12             46: 7/1 9/5
 16) 23: 7/4 4/2                 36: 9/3 4/1
 17) 26: 7/1 7/5                 32: 8/5 6/4
 18) 11: 6/5 4/3 3/2 2/1         45: 6/1 6/2
 19) 14: 6/2 2/1                 51: 16/11 5/4
 20) 41: 13/9 12/11              21: 
 21)  Doubles => 2                Drops
      Wins 1 point

 
