Game3
 shimohei,1852 : 8                michy,1912 : 0
  1) 42: 8/4 6/4                 34: 13/9 13/10
  2) 15: 13/8 6/5                63: 13/7 10/7
  3) 54: 13/8 13/9               62: 24/18 18/16
  4) 66:                          Doubles => 2
  5)  Takes                      53: 8/3 6/3
  6) 56: 25/20 20/14             41: 24/20 16/15
  7) 66:                         64: 15/11 20/14
  8) 16: 25/24                   61: 11/5 6/5
  9) 26: 25/23 8/2               34: 14/10 10/7
 10) 64: 13/7 13/9               35: 9/4 7/4
 11) 45: 8/3 7/3                 16: 13/7 13/12
 12) 54: 9/5 8/3                 25: 12/10 7/2
 13) 15: 25/24 8/3               41: 10/9 6/2
 14) 52: 6/1 6/4                 36: 9/3 8/5
 15) 24: 6/2 5/3                 12: 8/6 5/4
 16) 63: 4/1                     14: 7/3 7/6
 17) 13: 4/1 3/2                 61: 6/0 6/5
 18) 21: 3/1 3/2                 45: 5/0 4/0
 19) 22: 4/2 3/1 3/1             51: 5/0 5/4
 20) 22:                         65: 6/0
 21) 46: 24/18 18/14             43: 6/3 4/0
 22) 31: 14/11 11/10             53: 4/0 3/0
 23) 12: 10/8 8/7                13: 4/3 3/0
 24) 11: 7/6 6/5 5/4 4/3         42: 3/0 2/0
 25) 31: 24/23 24/21             14: 25/21 21/20
 26) 14: 23/19 19/18             12: 20/18 18/17
 27) 54: 24/19 21/17             22: 17/15 3/1 3/1 3/1
 28) 45: 19/14 14/10             52: 25/20 20/18
 29) 32: 10/7 3/1                65: 25/19 19/14
 30) 12: 18/17 7/5               12: 14/12 12/11
 31) 12: 17/15 15/14             14: 25/21 21/20
 32) 21: 25/23 23/22             53: 20/15 15/12
 33) 22: 17/15 15/13 22/20 20/18 62: 25/19 19/17
 34) 56: 14/8 13/8               46: 25/19 19/15
 35) 53: 18/13 13/10             24: 25/21 21/19
 36) 15: 10/5 5/4                16: 19/13 13/12
 37) 55: 8/3 8/3 4/0 3/0         44: 12/8 8/4 4/0 1/0
 38) 14: 3/0 1/0                 34: 1/0 1/0
                                  Wins 2 points

 
