Game4
 shimohei,1916 : 1                minack,1929 : 4
  1)                             24: 8/4 6/4
  2) 34: 24/20 13/10             26: 13/7 7/5
  3) 21: 25/23 23/22             53: 13/8 8/5
  4) 55: 13/8 8/3 8/3 13/8       55: 8/3 8/3 6/1 6/1
  5) 35:                         43: 24/20 13/10
  6) 35:                         51: 20/15 10/9
  7) 44:                         24: 9/7 13/9
  8) 46:                         45: 13/8 9/5
  9) 41:                         62: 24/18 15/13
 10) 42: 25/23                   32: 5/2 18/16
 11) 51:                         61: 8/2 16/15
 12) 54:                         21: 13/11 15/14
 13) 34:                         33: 14/11 11/8 8/5 7/4
 14) 41:                         43: 11/7 4/1
 15) 46:                         16: 7/1 5/4
 16) 46:                         41: 4/0 1/0
 17) 65:                         23: 6/3 6/4
 18) 64: 25/19                   15: 5/0 5/4
 19) 55: 25/20 25/20 20/15 20/15 42: 4/0 2/0
 20) 24: 15/11 8/6               46: 4/0 4/0
 21) 56: 15/9 19/14              21: 2/0 1/0
 22) 51: 11/6 13/12              12: 1/0 4/2
 23) 64: 12/6 14/10              35: 3/0 3/0
 24) 12: 8/6 13/12               36: 3/0 2/0
 25) 34: 8/4 9/6                 13: 1/0
                                  Wins 2 points

 
