Game12
 satoshi2104,1663 : 11            shimohei,1880 : 19
  1) 51: 13/8 6/5                13: 24/21 21/20
  2) 52: 25/20 24/22             13: 8/5 6/5
  3) 25: 25/23 13/8              53: 8/3 6/3
  4) 46: 25/21 23/17             65: 25/20 24/18
  5) 11: 8/7 8/7 24/23 17/16     23: 25/22 6/4
  6) 33:                         33: 13/10 10/7 7/4 13/10
  7) 25: 25/23 16/11             36: 20/14 14/11
  8) 22: 25/23 7/5 7/5 13/11     22: 25/23 13/11 11/9 11/9
  9) 26: 23/17 17/15             23: 25/23 13/10
 10) 16: 25/24 11/5              46: 22/16 13/9
 11) 36: 24/18 18/15             62: 25/23 16/10
 12) 21: 25/23 6/5               65: 23/18 9/3
 13) 51: 8/7 23/18               23: 25/22 9/7
 14) 11: 25/24 5/4 5/4 7/6       15: 7/6 6/1
 15)  Doubles => 2                Takes
 16) 54:                         66: 22/16 16/10 10/4 10/4
 17) 43:                         13: 4/1 23/22
 18) 22: 25/23 6/4 13/11 13/11   22: 9/7 7/5 5/3 3/1
 19) 55: 8/3 8/3 23/18 18/13     33: 
 20) 54: 6/2 13/8                22: 25/23 25/23 6/4 6/4
 21) 65: 25/19 8/3               16: 23/17 17/16
 22) 11: 4/3 3/2 3/2 19/18       56: 
 23) 22: 11/9 11/9 9/7 9/7       55: 
 24) 51: 23/18 18/17             12: 25/24
 25) 63: 17/11 11/8              55: 
 26) 54: 18/13 13/9              44: 
 27) 11: 9/8 8/7 7/6 6/5         44: 
 28) 22: 5/3 3/1 8/6 6/4         11: 25/24 25/24 4/3 4/3
 29) 45:                         65: 
 30) 66: 25/19 23/17 17/11 11/5  14: 5/1 3/2
 31) 53: 7/2 7/4                 33: 5/2 4/1 4/1 4/1
 32) 52: 19/14 14/12             24: 3/1
 33) 24: 12/8 8/6                11: 3/2 3/2 3/2 2/1
 34) 51: 5/0 4/3                 36: 24/18 18/15
 35) 56: 6/0 5/0                 42: 24/20 20/18
 36) 64: 25/19 19/15             33: 15/12 12/9 9/6 6/3
 37) 56: 15/9 9/4                23: 18/15 15/13
 38) 23: 3/0 2/0                 41: 13/9 9/8
 39) 63: 6/0 3/0                 52: 8/3 2/0
 40) 11: 2/1 1/0 2/1 1/0         22: 2/0 2/0 2/0 3/1
 41) 53: 6/3 4/0                 41: 3/0 1/0
 42) 52: 4/0 4/2                 24: 1/0 1/0
 43) 21: 2/0 3/2                 61: 1/0 1/0
 44) 23: 3/0 2/0                 44: 1/0 1/0 1/0 1/0
 45) 45: 4/0                    
      Wins 2 points

 
