Game5
 shimohei,1892 : 4                toshi,1786 : 5
  1)                             14: 13/9 24/23
  2) 45: 24/20 20/15             43: 13/10 10/6
  3) 56: 25/20 20/14             33: 6/3 6/3 8/5 8/5
  4) 16: 24/18 18/17             24: 25/21 13/11
  5) 21: 25/23 17/16             41: 25/24 13/9
  6) 51: 25/24 13/8              66: 21/15 15/9 11/5 24/18
  7) 65: 24/18 23/18             64: 24/18 13/9
  8) 34: 13/9 9/6                12: 6/4 5/4
  9) 55: 8/3 8/3 6/1 6/1         55: 23/18 18/13 18/13 18/13
 10) 52: 13/8 6/4                24: 9/5 5/3
 11) 44: 18/14 18/14 14/10 14/10 46: 13/7 9/5
 12) 11: 8/7 7/6 6/5 6/5         25: 13/8 13/11
 13) 46: 10/4 10/6               53: 11/6 9/6
 14) 21: 8/6 13/12               25: 7/2 8/6
 15) 35: 8/5 13/8                23: 3/0 2/0
 16) 46: 12/6 8/4                36: 6/0 3/0
 17) 41: 4/0 1/0                 55: 5/0 5/0 5/0 6/1
 18) 42: 4/0 6/4                  Doubles => 2
 19)  Drops                       Wins 1 point

 
