Game4
 tzsa1,1599 : 1                   shimohei,1864 : 3
  1) 62: 24/18 13/11             13: 8/5 6/5
  2) 62: 24/18 13/11             34: 24/21 13/9
  3) 55: 6/1 6/1 8/3 8/3         15: 25/20 21/20
  4) 36: 13/7 7/4                51: 9/8 13/8
  5) 12: 6/4 8/7                 64: 13/9 9/3
  6) 25: 7/2 4/2                 16: 3/2 8/2
  7) 35: 18/13 18/15             42: 8/4 6/4
  8) 61: 15/9 9/8                22: 13/11 13/11 11/9 9/7
  9) 52: 13/8 13/11              23: 6/3 11/9
 10) 63: 13/7 7/4                65: 8/3 7/1
 11) 46: 11/7 7/1                36: 8/5 9/3
 12) 21: 3/1 3/2                 31: 5/2 2/1
 13) 11: 11/10 11/10 10/9 10/9   31: 6/3 3/2
 14)  Doubles => 2                Takes
 15) 51: 9/4 9/8                 22: 20/18 18/16 16/14 14/12
 16) 12: 8/6 4/3                 44: 12/8 20/16 16/12 8/4
 17) 52: 8/3 8/6                 42: 12/8 8/6
 18) 46: 6/0 4/0                 56: 6/0 5/0
 19) 12: 2/0 1/0                 14: 4/0 1/0
 20) 41: 4/0 1/0                 32: 3/0 2/0
 21) 34: 6/2 3/0                 52: 5/0 2/0
 22) 24: 6/2 2/0                 66: 6/0 4/0 4/0 3/0
 23) 23: 3/0 2/0                  Doubles => 4
 24)  Drops                       Wins 2 points

 
