Game3
 othello,1971 : 2                 shisuke,1775 : 0
  1) 63: 24/18 13/10             66: 13/7 13/7 24/18 24/18
  2) 26: 25/23 10/4              56: 18/13 13/7
  3) 34: 24/20 23/20             14: 18/14 14/13
  4) 45: 13/8 8/4                25: 13/8 6/4
  5) 33: 8/5 8/5 6/3 6/3         65: 13/7 8/3
  6) 23: 13/10 10/8               Doubles => 2
  7)  Takes                      61: 7/1 4/3
  8) 61: 8/2 8/7                 51: 6/1 8/7
  9) 36: 13/7 13/10              21: 7/6 6/4
 10) 52: 7/2 10/8                46: 13/7 7/3
 11) 31: 8/5 5/4                 64: 13/7 7/3
 12) 16: 7/1 6/5                 23: 7/4 6/4
 13) 53: 20/15 4/1               13: 7/4 7/6
 14) 25: 15/10 10/8              22: 8/6 8/6 4/2 2/0
 15) 55: 20/15 15/10 10/5 8/3    13: 3/0 1/0
 16) 41: 4/0 1/0                 23: 3/0 4/2
 17) 23: 3/0 2/0                 34: 4/0 3/0
 18) 45: 5/0 4/0                 31: 3/0 1/0
 19) 54: 5/0 6/2                 22: 2/0 4/2 2/0 6/4
 20) 22: 2/0 2/0 6/4 5/3         62: 6/0 6/4
 21) 31: 3/0 1/0                 63: 6/0 4/1
 22) 36: 5/0 3/0                 42: 4/0 6/4
 23) 25: 4/0 3/1                 45: 4/0 1/0
                                  Wins 2 points

 
