Game9
 othello,1971 : 10                shisuke,1775 : 4
  1) 51: 13/8 24/23              52: 13/8 13/11
  2) 32: 24/21 23/21             13: 8/5 6/5
  3) 56: 13/7 7/2                26: 24/18 13/11
  4) 66: 8/2 13/7 13/7 13/7      53: 25/20 24/21
  5) 24: 8/4 6/4                 66: 
  6) 66: 21/15 21/15 15/9 15/9   15: 25/20 6/5
  7) 46: 7/1 6/2                 25: 8/3 5/3
  8) 51: 9/4 9/8                 44: 8/4 8/4 11/7 6/2
  9) 26: 8/2 4/2                 65: 13/7 11/6
 10) 11: 8/7 8/7 7/6 2/1         54: 13/8 6/2
 11) 23: 7/4 4/2                 52: 8/3 3/1
 12) 23: 6/3 6/4                 56: 7/1 7/2
 13) 42: 6/2 6/4                 41: 6/2 6/5
 14) 63: 7/1 7/4                 21: 20/18 18/17
 15) 22: 2/0 2/0 2/0 2/0         12: 20/18 17/16
 16) 36: 4/0 3/0                 32: 16/13 13/11
 17) 33: 4/1 4/1 4/1 4/1         46: 18/12 12/8
 18) 33: 2/0 2/0 1/0 1/0         13: 
      Wins 1 point
