Game8
 shisuke,1721 : 2                 satoshi2104,1654 : 10
  1) 43: 24/21 13/9              52: 6/4 13/8
  2) 51: 25/20 9/8               56: 24/18 18/13
  3) 14: 24/20 6/5               36: 13/7 7/4
  4) 36: 13/7 8/5                44: 13/9 13/9 6/2 6/2
  5) 35: 8/3 6/3                 22: 13/11 13/11 8/6 8/6
  6) 65: 13/7 13/8               34: 24/21 6/2
  7)  Doubles => 2                Takes
  8) 46: 13/7 8/4                26: 25/23 9/3
  9) 43: 20/16 7/4               12: 25/23 2/1
 10) 66: 16/10 7/1 7/1 10/4      16: 11/5 6/5
 11) 23: 25/22 6/4               15: 
 12) 46: 22/16 8/4               46: 
 13) 16: 8/7 7/1                 42: 25/23 11/7
 14) 23: 16/13 13/11             14: 8/4 7/6
 15) 43: 11/7 7/4                25: 23/18 18/16
 16) 44: 4/0 4/0 4/0 4/0         23: 16/13 13/11
 17) 54: 5/0 5/1                 13: 8/5 11/10
 18) 11: 6/5 6/5 1/0 1/0         63: 23/17 17/14
 19) 32: 3/0 3/1                 62: 14/8 8/6
 20) 15: 5/0 5/4                 52: 10/5 5/3
 21) 15: 4/0 1/0                 22: 5/3 6/4 4/2 6/4
 22) 16: 4/0 4/3                 12: 23/22 22/20
 23) 32:                         21: 2/1 20/18
 24) 32:                         44: 18/14 14/10 10/6 4/0
 25) 32:                         56: 6/0 5/0
 26) 16:                         16: 6/0 6/5
 27) 34:                         56: 5/0 5/0
 28) 61: 25/19 19/18             32: 3/0 2/0
 29) 16: 18/12 12/11             21: 2/0 1/0
 30) 53: 11/6 6/3                51: 4/0 1/0
 31) 45: 3/0 1/0                 42: 4/0 4/2
 32) 54: 1/0                    
      Wins 2 points

 
