Game9
 shun,1777 : 5                    Gensoku,1905 : 19
  1) 53: 8/3 6/3                 54: 13/8 24/20
  2) 64: 24/18 13/9              13: 24/21 21/20
  3) 31: 13/10 10/9              26: 13/7 13/11
  4) 12: 25/23 23/22             44: 11/7 8/4 8/4 6/2
  5) 42: 24/20 22/20             56: 8/2 8/3
  6) 32: 13/10 10/8              63: 13/7 6/3
  7) 21: 13/12 12/10             13: 25/24 24/21
  8) 21: 13/11 11/10             61: 21/20 20/14
  9) 25: 9/4 6/4                 12: 7/6 6/4
 10) 24: 9/7 7/3                 15: 6/1 14/13
 11) 41: 6/2 3/2                 32: 4/1 3/1
 12)  Doubles => 2                Takes
 13) 14: 8/4 4/3                 31: 7/4 7/6
 14) 25: 8/3 8/6                 56: 13/7 7/2
 15) 25: 20/15 20/18             36: 6/3 20/14
 16) 13: 15/12 12/11             16: 25/24 20/14
 17) 21:                         61: 24/18 14/13
 18) 56: 25/20 18/12             34: 
 19) 11: 10/9 9/8 8/7 12/11      52: 25/20
 20) 14: 11/7 6/5                44: 
 21) 14: 10/6 6/5                21: 25/24
 22) 31: 20/17 3/2               51: 25/24 6/1
 23) 51: 7/2 7/6                 35: 6/1 4/1
 24) 21: 17/15 15/14             23: 4/1 4/2
 25) 22: 14/12 12/10 10/8 6/4    26: 24/18 18/16
 26) 35: 8/3 4/1                 11: 25/24 16/15 15/14 14/13
 27) 65: 25/19 19/14             61: 13/7 2/1
 28) 35: 14/9 9/6                25: 7/2 3/1
 29) 65: 6/0 5/0                 34: 24/20 20/17
 30) 45: 25/20 20/16             53: 17/12 12/9
 31) 61: 25/19 2/1                Doubles => 4
 32)  Drops                       Wins 2 points

 
