Game12
 minack,1911 : 8                  sugorokusi,1621 : 6
  1)                             56: 24/18 18/13
  2) 42: 8/4 6/4                 43: 24/20 13/10
  3) 44: 13/9 13/9 9/5 9/5       14: 25/24 13/9
  4) 21: 6/4 24/23               43: 9/5 8/5
  5) 44: 13/9 13/9 13/9 9/5      13: 13/10 6/5
  6) 56: 24/18 23/18             26: 24/18 6/4
  7) 62: 9/3 9/7                 45: 
  8) 31: 6/3 8/7                 24: 25/23 6/2
  9) 21: 4/2 2/1                 14: 25/24 8/4
 10) 56:                         26: 8/2 13/11
 11) 11: 25/24 8/7 7/6 5/4       15: 24/23 11/6
 12) 45: 7/2 6/2                 14: 25/24 6/2
 13) 14: 7/3 3/2                 12: 5/3 3/2
 14) 23: 4/1 24/22               52: 
 15) 65: 22/16 16/11             51: 25/24 10/5
 16) 42:                         64: 24/18 18/14
 17) 53: 25/22                   63: 10/4 14/11
 18) 44:                          Doubles => 2
 19)  Drops                       Wins 1 point

 
