Game11
 terao : 8                       bgdaichan : 8
  1)                             43: 13/9 24/21              
  2) 65: 24/18 18/13             63: 24/18 21/18             
  3) 22: 24/22 22/20 20/18 18/16 66:                         
  4) 11: 16/15 15/14 6/5 6/5     53: 25/22 13/8              
  5) 65: 14/8 13/8               32: 8/5 6/4                 
  6) 54: 13/8 6/2                21: 6/4 6/5                 
  7) 41: 13/9 9/8                63: 13/7 8/5                
  8) 64: 8/2 8/4                 44: 13/9 13/9 9/5 7/3       
  9) 62: 13/11 11/5              61: 9/3 22/21               
 10) 53:                         53: 21/16 16/13             
 11) 52: 25/23 8/3               21: 13/11 5/4               
 12) 62: 8/2 5/3                 63: 8/2 5/2                 
 13) 66:                         53: 18/13 18/15             
 14) 66:                         62: 15/9 13/11              
 15) 21: 25/24 8/6               55: 11/6 11/6 6/1 6/1       
 16) 43:                         32: 8/5 9/7                 
 17) 33:                         32: 7/4 5/3                 
 18) 31:                         62: 6/0 6/4                 
 19) 33:                         32: 3/0 4/2                 
 20) 63: 25/19 19/16             55: 5/0 5/0 4/0 4/0         
 21) 66: 16/10 13/7 13/7 10/4    66: 4/0 4/0 3/0 3/0         
 22) 66: 8/2 8/2 7/1 7/1         66: 2/0 2/0 2/0 1/0         
 23) 66: 6/0 6/0 6/0 5/0         66: 1/0                     
                                  Wins 1 point and the match



