Game4
 othello,1953 : 3                 theo23,1734 : 1
  1) 62: 24/18 13/11             22: 6/4 6/4 13/11 13/11
  2) 31: 8/5 6/5                 32: 13/11 24/21
  3) 64: 13/7 11/7               55: 11/6 6/1 6/1 21/16
  4) 13: 25/22 6/5               52: 8/3 24/22
  5) 25: 25/20 20/18             44: 13/9 13/9 9/5 9/5
  6) 65: 13/7 7/2                46: 22/16 6/2
  7) 14: 8/4 5/4                 46: 16/10 10/6
  8) 23: 7/4 4/2                  Doubles => 2
  9)  Takes                      61: 16/10 10/9
 10) 44: 13/9 13/9 9/5 7/3       62: 11/5 11/9
 11) 34: 8/4 6/3                 25: 6/1 5/3
 12) 15: 9/4 4/3                 22: 8/6 8/6 4/2 6/4
 13) 53: 6/1 4/1                 46: 9/3 9/5
 14) 62: 18/12 18/16             54: 5/0 4/0
 15) 15: 12/7 7/6                32: 3/0 2/0
 16) 54: 16/11 11/7              35: 5/0 3/0
 17) 23: 7/5 3/0                 22: 4/2 2/0 2/0 6/4
 18) 52: 5/0 2/0                 62: 6/0 4/2
 19) 35: 5/0 3/0                 46: 5/0 3/0
 20) 56: 6/0 5/0                 32: 2/0 1/0
 21) 65: 6/0 5/0                 31: 1/0 1/0
                                  Wins 2 points

 
