Game13
 torseddi : 9                           Abraca : 10
  1)                                    63: 24/18 13/10
  2) 62: 13/11 13/7*                    66: Cannot Move
  3) 53: 8/3 6/3                        41: bar/24 13/9
  4) 64: 24/18 11/7                     65: 13/7* 6/1*
  5) 43: bar/22 bar/21                  63: 10/4* 7/4
  6) 63: bar/16*                        31: bar/21
  7)  Doubles => 2                       Takes
  8) 63: 16/10 13/10                    63: 24/21 8/2
  9) 21: 7/5 6/5                        64: 24/18* 6/2
  10) 51: bar/24* 13/8                  41: bar/21 13/12*
  11) 43: bar/22 24/20                  11: 8/5* 6/5
  12) 43: bar/22 6/2                    44: 18/6 12/8
  13) 31: 8/5 3/2                       32: 21/16
  14) 31: 10/9* 9/6                     11: bar/24 8/7(2) 6/5
  15) 41: 10/6 3/2                      54: 13/4
  16) 32: 6/3 5/3                       42: 5/1 4/2
  17) 22: 5/1*(2)                       32: Cannot Move
  18) 21: 8/6 2/1                       51: bar/20 2/1
  19) 41: 6/5* 5/1                      63: Cannot Move
  20) 54: 22/13                         61: Cannot Move
  21) 52: 22/17 8/6                     22: Cannot Move
  22) 55: 22/12 17/12 13/8              52: bar/20 7/5
  23) 42: 8/2                           61: 20/14 7/6
  24) 22: 12/8(2)                       31: 14/10
  25) 21: 3/1 2/1                       44: 10/2 6/2 5/1
  26) 54: 6/2 6/1                       63: 21/12
  27) 22: 8/6(2) 2/off(2)               62: 12/4
  28) 64: 6/2 6/off                     51: 6/5 6/1
  29) 21: 2/off 1/off                   64: 21/11
  30) 32: 3/off 2/off                   65: 11/off
  31) 21: 6/4 1/off                     53: 5/2 5/off
  32) 33: 6/off 4/off                   31: 4/off
  33) 54: 1/off(2)                      42: 4/off 2/off
  34) 41: 1/off(2)                      54: 5/off 4/off
  35) 11: 1/off                         
  36)  Wins 2 point                     

 
