Game12
 toshi,1778 : 7                   minack,1934 : 12
  1) 21: 13/11 6/5               64: 24/20 20/14
  2) 21: 25/23 25/24             35: 8/3 6/3
  3) 54: 24/20 23/18             35: 13/8 8/5
  4) 22: 25/23 13/11 6/4 6/4     45: 25/20 24/20
  5) 26: 24/18 13/11             23: 8/5 8/6
  6) 25: 23/18 8/6               16: 6/5
  7) 45: 18/13 6/2               63: 13/10 10/4
  8) 31: 24/21 2/1               66: 
  9) 24: 21/17 13/11             62: 25/23
 10) 53: 11/6 17/14              33: 23/20 13/10 13/10 13/10
 11) 16: 14/8 4/3                13: 6/3 5/4
 12) 36: 8/2 6/3                 34: 20/16 16/13
 13) 26: 8/2 8/6                 16: 10/4 3/2
 14) 56: 18/12 6/1               62: 
 15)  Doubles => 2                Takes
 16) 43: 11/7 7/4                66: 
 17) 16: 18/12 12/11             16: 
 18) 66: 13/7 13/7 7/1 7/1       64: 
 19) 45: 11/6 11/7               52: 25/20 20/18
 20) 14: 25/24 6/2               62: 10/4 4/2
 21) 33: 12/9 9/6 6/3 4/1        56: 6/1 10/4
 22) 56:                          Doubles => 4
 23)  Drops                       Wins 2 points

 
