Game14
 othello,1979 : 18                toshi,1774 : 11
  1) 31: 8/5 6/5                 62: 24/18 18/16
  2) 52: 13/8 24/22              55: 6/1 6/1 8/3 8/3
  3) 21: 25/23                    Doubles => 2
  4)  Takes                      64: 8/2 6/2
  5) 36:                         65: 16/10 13/8
  6) 34: 25/21                   63: 10/4 13/10
  7) 65: 25/20                   42: 8/4 13/11
  8) 46:                         65: 11/5 10/5
  9) 54:                         12: 24/22 22/21
 10) 26:                         45: 21/16 13/9
 11) 41:                         53: 16/11 9/6
 12) 36:                         55: 13/8 11/6 8/3 6/1
 13) 61:                         25: 6/1 3/1
 14) 56:                         31: 5/2 5/4
 15) 24:                         24: 6/2 6/4
 16) 34:                         56: 4/0 4/0
 17) 11:                         64: 4/0 4/0
 18) 61: 25/19                   12: 2/0 1/0
 19) 56: 25/19 19/14             63: 3/0 3/0
 20) 46: 19/13 13/9              45: 2/0 2/0
 21) 65: 13/7 13/8               64: 2/0 1/0
 22) 52: 13/8 13/11              16: 1/0 1/0
 23) 36: 11/5 9/6                35: 1/0
                                  Wins 4 points

 
