Game7
 vanillasky : 6                        TJ : 4
  1) 51: 24/23 13/8                    21: 24/23 13/11                   
  2) 54: 23/14*                        41: Bar/21 6/5                    
  3) 53: 8/3 6/3                       54: 6/1* 5/1                      
  4) 32: Bar/22 6/4*                   32: Bar/23 24/21*                 
  5) 42: Bar/23 8/4*                   41: Bar/21* 21/20                 
  6) 31: Bar/22 6/5*                   61: Bar/18                        
  7) 31: 8/5 8/7*                      32: Bar/23 13/10                  
  8) 66: 22/16(2) 14/8 13/7            66: 23/17*(2) 8/2*(2)             
  9) 33: Bar/22(2) 7/4(2)              33: 13/10(3) 8/5                  
 10) 64: 13/3                          61: 23/17 6/5                     
 11) 52: 16/9                          52: 17/10                         
 12) 62: 16/10 9/7                     32: 17/14 17/15*                  
 13) 41: Bar/21 22/21                  21: 15/13 14/13                   
 14) 62: 7/1 3/1                       63: 13/7 10/7                     
 15) 52: 13/11 13/8                    54: 10/6 10/5                     
 16) 42: 11/5                           Doubles => 2                     
 17)  Drops                             Wins 1 point



 
