Game13
 fairytails,1840 : 10             yasushi,1708 : 6
  1) 32: 24/21 13/11             12: 6/4 24/23
  2) 46: 25/21 21/15             52: 25/23 13/8
  3) 24: 15/11 13/11             55: 23/18 23/18 8/3 8/3
  4) 53: 8/3 6/3                 45: 13/8 13/9
  5) 61: 11/5 6/5                64: 8/2 6/2
  6) 12: 13/11 6/5               44: 13/9 13/9 9/5 9/5
  7) 16: 11/5 5/4                16: 24/18 9/8
  8) 14: 6/2 5/4                 22: 8/6 6/4 6/4 18/16
  9) 25: 11/9 11/6               12: 25/24 18/16
 10) 24:                         23: 18/16 16/13
 11) 51: 25/24 8/3               23: 16/13 8/6
 12) 52: 13/8 13/11              43: 8/4 6/3
 13) 21: 3/1 2/1                 44: 
 14) 25: 11/6 6/4                63: 
 15) 53: 8/3 8/5                 55: 
 16) 31: 5/2 3/2                 66: 
 17) 43: 6/2 6/3                 34: 
 18) 65: 24/18 18/13             14: 
 19) 66: 24/18 13/7 7/1          22: 
 20) 16: 18/17 17/11             42: 
 21) 12: 11/9 9/8                15: 
 22) 34: 8/4 3/0                 32: 
 23) 16: 5/0 5/4                 64: 25/19 19/15
 24) 32: 3/0 2/0                 32: 13/10 13/11
 25) 63: 4/0 3/0                 66: 15/9 11/5 10/4 9/3
 26) 54: 4/0 4/0                 14: 4/0 2/1
 27) 53: 4/0 4/1                 55: 5/0 5/0 5/0 6/1
 28) 11: 1/0 1/0 1/0 1/0         16: 6/0 1/0
 29) 65: 2/0 2/0                
      Wins 1 point
