Game1
 fairytails,1845 : 0              yasushi,1703 : 0
  1)                             14: 13/9 24/23
  2) 62: 24/18 18/16             13: 25/22 23/22
  3) 16: 13/7 8/7                66: 22/16 22/16 13/7 13/7
  4) 24: 8/4 6/4                 52: 24/22 22/17
  5) 34: 25/21 24/21             12: 17/16 8/6
  6) 42: 13/11 11/7              12: 7/5 6/5
  7) 66: 21/15 21/15 16/10 10/4  12: 6/4 8/7
  8) 43: 7/3 6/3                 56: 16/11 11/5
  9) 14: 7/3 3/2                 22: 6/4 7/5 5/3 5/3
 10) 36: 13/7 4/1                22: 16/14 16/14 13/11 13/11
 11) 12: 7/5 6/5                 56: 14/8 14/9
 12) 35: 15/10 15/12             23: 8/6 9/6
 13) 35: 10/5 13/10              31: 8/5 11/10
 14) 44: 10/6 13/9 12/8 8/4      55: 11/6 10/5 7/2 5/0
 15) 26: 9/3 7/5                 25: 5/0 2/0
 16) 51: 5/0 1/0                 24: 4/0 6/4
 17) 33: 3/0 3/0 3/0 6/3         55: 5/0 5/0 6/1 6/1
 18) 54: 4/0 5/0                 31: 3/0 1/0
 19) 43: 4/0 3/0                 45: 4/0 6/1
 20) 35: 5/0 6/3                 34: 4/0 3/0
 21) 41: 4/0 5/4                 13: 1/0 6/3
 22) 51: 6/1 1/0                  Doubles => 2
 23)  Drops                       Wins 1 point

 
