Game4
 yoshi : 1                             TJ : 5
  1) 41: 13/9 6/5                      41: 24/23 24/20*                  
  2) 51: Bar/20 6/5*                   65: Bar/20* 20/14                 
  3) 32: Bar/22 13/11*                 33: Bar/22 8/5*(2) 6/3*           
  4) 43: Bar/21 Bar/22*                61: Bar/24 22/16*                 
  5) 31: Bar/21                        54: 23/14*                        
  6) 64: Bar/21 22/16                  63: 16/13 14/8                    
  7) 65: 21/16 13/7                    21: 24/21                         
  8) 42: 8/4* 6/4                      42: Bar/23 6/2                    
  9) 64: 13/9 13/7                     55: 13/3(2)                       
 10) 63: 24/15                         64: 13/7 6/2                      
 11) 54: 15/10 9/5                     22: 13/11 7/5 3/1*(2)             
 12) 53: Bar/22 10/5                   41: 23/22 11/7                    
 13)  Doubles => 2                      Takes                            
 14) 65: 22/11                         31: 8/7 8/5                       
 15) 43: 11/4                          42: 7/3 5/3                       
 16) 54: 8/3* 7/3                      31: Bar/24 5/2                    
 17) 22: 8/2 4/2                       66: 24/18* 18/6 13/7              
 18) 62: Cannot Move                   53: 13/5                          
 19) 53: Cannot Move                   42: 7/5 7/3                       
 20) 33: Cannot Move                   65: 6/Off 5/Off                   
 21) 54: Bar/21 16/11                  51: 5/Off 1/Off                   
 22) 52: 21/14                         41: 6/5 6/2                       
 23) 41: 11/6                          43: 5/1 3/Off                     
 24) 42: 16/10                         64: 5/1 5/Off                     
 25) 63: 21/12                         55: 3/Off(2) 2/Off(2)             
 26) 53: ????                           Wins 4 point



 
