Game6
 yosiyuki,1840 : 8                Masahito,1848 : 9
  1) 53: 8/3 6/3                 46: 8/2 6/2
  2) 56: 24/18 18/13             44: 24/20 24/20 13/9 13/9
  3) 35: 13/8 6/3                64: 20/14 14/10
  4) 22: 13/11 13/11 13/11 8/6   52: 20/15 15/13
  5) 24: 8/4 6/4                 64: 10/4 8/4
  6) 51: 6/5 11/6                53: 8/3 6/3
  7) 33: 8/5 11/8 8/5 11/8        Doubles => 2
  8)  Takes                      42: 13/9 6/4
  9) 45: 24/20 20/15             13: 13/10 4/3
 10) 11: 25/24 3/2 8/7 5/4       53: 13/8 13/10
 11) 43: 24/20 20/17             62: 25/23 23/17
 12) 26:                         24: 10/8 10/6
 13) 56: 25/20                   23: 8/5 5/3
 14) 62:                         36: 17/11 11/8
 15) 64:                         11: 3/2 3/2 2/1 2/1
 16) 26:                         33: 9/6 9/6 9/6 6/3
 17) 31:                         41: 8/4 3/2
 18) 13:                         31: 6/3 2/1
 19) 23:                         43: 4/0 3/0
 20) 51: 25/20                   66: 6/0 6/0 6/0 6/0
 21) 35: 25/20 20/17             54: 4/0 4/0
 22) 53: 17/12 13/10             51: 3/0 1/0
 23) 63: 12/6 20/17              23: 3/0 2/0
 24) 54: 17/12 13/9              31: 2/0 1/0
 25) 24: 10/6 9/7                21: 1/0
                                  Wins 4 points

 
