Game2
 othello,1928 : 2                 yosiyuki,1873 : 5
  1) 64: 8/2 6/2                 61: 13/7 8/7
  2) 53: 8/3 6/3                 12: 7/5 6/5
  3) 45: 13/8 13/9               46: 13/7 13/9
  4) 45: 9/4 8/4                 13: 13/10 10/9
  5) 46: 13/7 7/3                11: 6/5 6/5 5/4 5/4
  6) 21: 13/12 24/22              Doubles => 2
  7)  Takes                      53: 25/20 20/17
  8) 55:                         21: 17/15 15/14
  9) 41: 25/24 13/9              21: 14/13 13/11
 10) 22: 25/23 24/22 24/22 6/4   56: 24/18 18/13
 11) 34: 9/5 5/2                 15: 11/6 13/12
 12) 23: 4/1 3/1                 65: 25/20 12/6
 13) 11: 6/5 6/5 23/22 2/1       16: 25/19 6/5
 14) 62: 5/3                     61: 19/13 13/12
 15) 44: 5/1                     44: 12/8 8/4 6/2 5/1
 16) 42: 3/1                     14: 9/5 9/8
 17) 53: 4/1                     42: 8/4 4/2
 18) 45:                         22: 8/6 8/6 7/5 7/5
 19) 13: 4/1 3/2                 51: 5/0 1/0
 20) 41: 22/18 18/17             22: 2/0 2/0 4/2 2/0
 21) 11: 17/16 16/15 15/14 14/13 46: 6/0 6/2
 22) 62: 22/16 13/11             11: 2/1 1/0 5/4 5/4
 23) 44: 16/12 12/8 22/18 18/14  55: 5/0 5/0 6/1 6/1
 24) 65: 14/8 11/6               23: 4/1 4/2
 25) 12: 8/6 8/7                 31: 4/1 1/0
 26) 43: 22/18 18/15             23: 4/1 2/0
 27) 21: 7/5 5/4                 63: 1/0 1/0
 28) 34: 15/11 11/8              43: 1/0 1/0
                                  Wins 4 points

 
