Game1
 minack : 0                      Yuri : 0
  1)                             54: 24/20 13/8 
  2) 52: 13/8 24/22              51: 20/15 15/14 
  3) 56: 22/16 16/11*            16: 25/24 13/7 
  4) 11: 6/5 6/5 8/7 8/7         42: 8/4 6/4 
  5)  Doubles => 2                Takes
  6) 55: 13/8 13/8 8/3 8/3       54: 8/3 7/3 
  7) 51: 11/6 6/5                42: 13/9 6/4 
  8) 54: 24/20 20/15             51: 8/3 6/5 
  9) 51: 15/10 10/9              41: 9/5 3/2 
 10) 63: 13/7 13/10              36: 24/21 21/15* 
 11) 14: 25/24 9/5               54: 13/8 13/9 
 12) 52: 8/3 8/6                 24: 9/5 4/2 
 13) 11: 5/4 5/4 6/5 5/4         42: 5/1* 8/6 
 14) 12: 25/24* 7/5              11: 25/24 24/23 24/23 6/5 
 15) 54: 6/1 5/1                 11: 2/1* 2/1 8/7 7/6 
 16) 66:                         54: 15/10 10/6 
 17) 25: 25/23 23/18             65: 23/17 6/1 
 18) 52: 7/2* 4/2                66: 
 19) 22: 18/16 16/14 7/5 3/1     66: 
 20) 44: 14/10 10/6 6/2 5/1      66: 
 21) 31: 6/3 6/5                 31: 
 22) 24: 2/0 5/1                 42: 
 23) 61: 5/0 5/4                 41: 
 24) 42: 4/0 3/1                 21: 
 25) 63: 4/0 4/1                 43: 25/21 21/18 
 26) 31: 3/0 1/0                 43: 18/14 14/11 
 27) 33: 3/0 2/0 2/0 1/0         54: 11/6 17/13 
 28) 51: 1/0 1/0                 33: 13/10 10/7 7/4 3/0 
 29) 55: 1/0 1/0 1/0             
      Wins 2 points              

 
