Game5
 yuripicu : 3                    bgdaichan : 4
  1)                             65: 24/18 18/13             
  2) 33: 8/5 8/5 6/3 6/3         43: 24/21 21/17             
  3) 62: 25/23 13/7              64: 8/2 6/2                 
  4) 33: 25/22 13/10 13/10 7/4   53: 8/3 6/3                 
  5) 62:                         63: 17/11 11/8              
  6) 61: 25/24 10/4              21: 13/11 11/10             
  7) 31: 24/21 10/9              61: 10/4 4/3                
  8) 62:                          Doubles => 2               
  9)  Takes                      52: 13/8 13/11              
 10) 64: 25/21 9/3               54: 11/6 6/2                
 11) 31: 6/3 3/2                 31: 8/5 6/5                 
 12) 53: 21/16 16/13             41: 13/9 9/8                
 13) 21: 13/11 3/2               21: 8/6 6/5                 
 14) 43: 11/7 7/4                31: 8/5 3/2                 
 15) 66: 13/7 13/7 24/18 24/18   41: 8/4 5/4                 
 16) 54: 7/2 7/3                 32: 6/3 6/4                 
 17) 32: 4/1 3/1                 55: 13/8 13/8 8/3 8/3       
 18) 42: 18/14 14/12             65: 5/0 5/0                 
 19) 54: 18/13 13/9              66: 5/0 4/0 4/0 4/0         
 20) 66: 12/6 9/3 6/0 6/0        66: 3/0 3/0 3/0 3/0         
 21) 66: 6/0 5/0 5/0 4/0         66: 3/0 2/0 2/0 2/0         
 22) 66: 4/0 3/0 3/0 3/0         66: 2/0                     
                                  Wins 2 point



 
