Game5
 bulgari,2043 : 5                 yuya,1801 : 1
  1)                             24: 8/4 6/4
  2) 16: 13/7 8/7                34: 24/21 13/9
  3) 22: 6/4 6/4 7/5 7/5         16: 25/24 13/7
  4) 25: 13/8 24/22              56: 9/3 8/3
  5) 26: 25/23 24/18             36: 25/22 13/7
  6) 66:                          Doubles => 2
  7)  Takes                      35: 7/2 13/10
  8) 52: 25/20 25/23             44: 
  9) 23: 20/17 17/15             46: 
 10) 26: 15/9 9/7                26: 25/23
 11) 14: 7/3 3/2                 42: 25/23
 12) 62: 25/23 8/2               54: 
 13) 24: 6/2 8/6                 32: 25/22
 14) 23: 6/3 13/11               65: 
 15) 52: 8/3 11/9                62: 
 16) 32: 23/20 20/18             66: 
 17) 32: 23/20 9/7               12: 25/24
 18) 61: 13/12 20/14             16: 25/24
 19) 53: 14/9 13/10              11: 25/24 25/24 25/24 6/5
 20) 14: 12/8 8/7                21: 6/5 6/4
 21) 45: 10/5 18/14              45: 6/1 5/1
 22) 34: 14/10 10/7              55: 
 23) 22: 9/7 7/5 7/5 5/3         55: 
 24) 24: 7/3 7/5                 51: 4/3
 25) 13: 3/0 5/4                 12: 5/3 3/2
 26) 66: 6/0 6/0 5/0 5/0         65: 24/18 24/19
 27) 51: 5/0 5/4                 26: 24/18 19/17
 28) 14: 4/0 4/3                 35: 24/19 19/16
 29) 24: 4/0 4/2                 62: 24/18 18/16
 30) 13: 3/0 3/2                 51: 24/19 19/18
 31) 42: 3/0 2/0                 33: 24/21 21/18 18/15 18/15
 32) 32: 3/0 2/0                 21: 18/16 18/17
 33) 23: 2/0 2/0                
      Wins 4 points

 
