1,26,24/18 13/11,51,13/8 8/7*
2,65,25/20 24/18*,41,25/21 6/5*
3,65,25/20* 20/14,21,25/24 13/11*
4,62,25/23 11/5,64,13/7* 24/20*
5,32,25/22 25/23,42,11/7 24/22
6,54,13/8 8/4*,31,25/22 22/21*
7,31,25/22 6/5*,21,25/23 21/20*
8,33,25/22 8/5* 8/5 6/3*,64,25/21
9,61,8/2* 3/2,42,25/21
10,41,13/9 22/21,52,
11,11,22/21 22/21 21/20 21/20,11,25/24 8/7 8/7 8/7
12,63,9/3 6/3,64,24/18 18/14
13,44,21/17 20/16 5/1* 5/1,53,25/20 14/11
14,65,20/14* 14/9,52,25/20 7/5
15,42,23/21 21/17,43,7/3 6/3
16,44,17/13 17/13 13/9 13/9,54,7/2* 6/2
17,54,25/20* 20/16,42,25/21 7/5
18,42,13/9 13/11,52,13/8 7/5
19,63,11/8 8/2,11,21/20 13/12 12/11 11/10
20,44,16/12 16/12 12/8 12/8,32,20/18 18/15
21,44,6/2 6/2,33,15/12 12/9 10/7 7/4
22,42,9/7 7/3,61,8/2 2/1
23,63,8/2 9/6,,Doubles => 2
24,,Drops,,Wins 1 point
