1,32,24/21 13/11,63,13/4*
2,54,bar/21* 21/16,44,bar/21 24/20(2) 13/9*
3,32,bar/22 13/11,41,9/5 6/5
4,31,24/21 22/21,32,21/16
5,64,8/2 6/2,22,20/16(2)
6,51,13/8 6/5,61,13/7 8/7
7,53,8/5 8/3,61,8/7 8/2
8,54,11/7 11/6,32,16/13 7/5
9,42,8/4 6/4,61,13/7 6/5
10,21,6/3,22,16/14(2) 13/11(2)
11,42,7/1,61,7/1 2/1
12,31,5/1,31,6/2
13,54,13/9 13/8,63,14/8 11/8
14,62,9/3 8/6,31,14/11 2/1
15,52,6/1 5/3,64,11/7 11/5
16,41,6/5 6/2,41,7/2
17,31,5/1,65,8/3 8/2
18,43,21/14,,Doubles => 2
19,,)  Drops,,Wins 1 point
