1,31,8/5 6/5,61,13/7 8/7
2,36,24/21 21/15,43,13/10 13/9
3,32,25/22 24/22,35,10/5 8/5
4,44,13/9 13/9 8/4 8/4,26,8/2 9/7
5,24,9/5 6/4,64,24/18 18/14
6,,Doubles => 2,,Takes
7,16,9/3 4/3,41,14/13 6/2
8,26,13/7 7/5,41,6/2 24/23
9,21,5/3 3/2,66,
10,41,6/2 22/21,23,
11,54,22/17 21/17,35,
12,36,17/11 17/14,35,
13,35,11/6 14/11,66,
14,63,13/7 7/4,63,
15,45,6/1 5/1,26,
16,15,13/8 11/10,64,
17,23,8/5 10/8,51,
18,36,8/2 5/2,24,
19,21,2/0 4/3,53,
20,52,6/1 6/4,42,
21,34,4/0 3/0,31,
22,36,5/0 5/2,46,25/19 13/9
23,56,4/0 4/0,22,13/11 13/11 19/17 7/5
24,65,3/0 3/0,45,11/6 9/5
25,52,2/0 2/0,41,7/6 7/3
26,22,2/0 2/0 1/0 1/0,35,17/12 12/9
27,13,1/0,,
,,Wins 4 points,,
